,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,13540,250711.0,331618.0,80907.1,1
1,2,18102,239177.0,326944.0,87766.6,1
2,3,11711,247005.0,323789.0,76783.4,1
3,4,8623,205878.0,263998.0,58119.2,1
4,5,14695,245052.0,325614.0,80561.8,1
5,6,7733,144799.0,192301.0,47501.9,1
6,7,6242,105062.0,142579.0,37516.5,1
7,8,14980,271415.0,361371.0,89955.9,1
8,9,15158,231585.0,310725.0,79140.5,1
9,10,6995,137431.0,188883.0,51451.9,1
10,11,11252,251615.0,330202.0,78587.4,1
11,12,13604,274096.0,362993.0,88897.2,1
12,13,6123,176272.0,228326.0,52054.5,1
13,14,10260,202889.0,277043.0,74154.1,1
14,15,8230,134441.0,177651.0,43210.0,1
