,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,37.54,42,508,25.54,12770.0,19070.3,6300.32,9
1,2,19.33,78,876,13.15,11716.6,16933.1,5216.43,4
2,3,18.58,89,844,12.64,11199.0,15681.5,4482.48,8
3,4,16.07,106,912,10.93,10383.5,14655.8,4272.34,14
4,5,28.36,45,603,19.29,11303.9,17101.1,5797.14,1
5,6,69.56,80,230,47.32,12492.5,15998.8,3506.32,6
6,7,50.39,42,413,34.28,13814.8,20811.1,6996.23,12
7,8,43.76,121,467,29.77,16671.2,20435.9,3764.72,3
8,9,46.61,153,439,31.71,16838.0,20461.8,3623.78,6
9,10,11.92,154,1043,8.11,9269.73,12432.6,4249.57,5
10,11,67.27,45,259,45.76,12126.4,17422.9,5296.53,12
11,12,61.33,40,294,41.72,12974.9,18031.0,5056.1,14
12,13,11.61,29,1016,7.9,7844.7,11795.8,3951.06,11
13,14,59.56,41,286,40.52,11183.5,17034.2,5850.64,3
14,15,35.84,66,584,24.38,15286.3,20930.6,5644.3,1
15,16,63.47,111,283,43.18,15631.2,17962.0,2330.85,1
16,17,62.15,53,281,42.28,11880.7,17464.2,5583.47,5
17,18,22.48,69,724,15.29,11329.9,16275.5,4945.63,6
18,19,64.03,122,285,43.56,15638.0,18248.5,2610.51,4
19,20,17.58,63,877,11.96,10548.7,15417.7,4868.94,6
20,21,24.21,59,773,16.47,12879.5,18714.3,5834.79,7
21,22,6.38,79,1143,4.34,5008.36,7292.34,2283.98,6
22,23,67.3,67,250,45.78,11811.2,16825.0,5013.76,7
23,24,74.04,89,218,50.37,12945.1,16140.7,3195.63,11
24,25,6.76,101,1079,4.6,5207.2,7294.04,2086.84,4
25,26,63.33,90,293,43.08,14345.6,18555.7,4210.05,7
26,27,25.53,33,730,17.37,12298.0,18636.9,6338.94,5
27,28,70.32,32,277,47.84,12725.4,19478.6,6753.2,3
28,29,47.17,69,432,32.09,14344.2,20377.4,6033.21,13
29,30,29.52,48,677,20.08,13373.3,19985.0,6611.76,8
30,31,26.42,53,738,17.97,13854.9,19498.0,5643.09,1
31,32,28.36,46,598,19.29,11824.8,16959.3,5134.51,2
32,33,52.91,31,363,35.99,12560.5,19206.3,6645.82,15
33,34,24.78,61,728,16.86,12560.7,18039.8,5479.14,15
34,35,48.48,96,419,32.98,15995.3,20313.1,4317.82,14
35,36,6.76,42,955,4.6,4278.0,6455.8,2177.8,8
36,37,28.17,30,750,19.16,13661.1,21127.5,7466.42,2
37,38,24.59,51,775,16.73,12949.0,19057.2,6108.23,3
38,39,8.25,47,1024,5.61,5705.37,8448.0,2742.63,8
39,40,72.82,126,210,49.54,14069.4,15292.2,1222.84,1
40,41,35.85,53,609,24.39,14634.0,21832.6,7198.65,10
41,42,56.82,34,304,38.65,10590.1,17273.3,6683.18,5
42,43,2.38,45,1169,1.62,1854.9,2782.22,927.32,14
43,44,31.62,58,669,21.51,14777.4,21153.8,6376.41,10
44,45,72.27,27,239,49.16,10471.1,17272.5,6801.45,12
45,46,52.02,100,445,35.39,18190.5,23148.9,4958.44,7
46,47,29.25,101,692,19.9,14765.8,20241.0,5475.2,2
47,48,25.24,92,745,17.17,13581.5,18803.8,5222.33,9
48,49,72.84,26,235,49.55,10752.3,17117.4,6365.05,4
49,50,23.96,92,738,16.3,12469.5,17682.5,5212.98,11
50,51,37.97,54,562,25.83,14800.6,21339.1,6538.55,11
51,52,40.63,55,507,27.64,14953.2,20599.4,5646.17,11
52,53,70.91,57,269,48.24,13989.6,19074.8,5085.19,2
53,54,42.19,35,473,28.7,13976.9,19955.9,5978.97,7
