,idVenda,Quantidade,vendaValor,Departamento,prodLucro,Produto_idProduto,Cliente_idCliente
0,1,2,70.06,8,0.0,194,2
1,2,1,32.29,15,0.0,59,2
2,3,1,81.18,8,0.0,5,2
3,4,3,74.64,6,0.0,101,5
4,5,2,51.98,7,0.0,190,5
5,6,3,33.87,3,0.0,84,5
6,7,1,9.4,3,0.0,175,9
7,8,1,9.94,10,0.0,193,9
8,9,4,70.4,11,0.0,192,9
9,10,1,9.47,8,0.0,196,10
10,11,2,6.56,1,0.0,44,10
11,12,4,37.6,3,9.4,175,10
12,13,3,18.63,6,0.0,111,11
13,14,1,86.63,13,0.0,115,11
14,15,2,171.46,9,0.0,230,11
15,16,2,87.22,10,0.0,147,12
16,17,2,58.46,15,0.0,234,12
17,18,2,135.8,4,0.0,2,12
18,19,2,56.66,6,0.0,61,13
19,20,1,7.58,4,0.0,164,13
20,21,1,81.18,8,81.18,5,13
21,22,4,68.48,5,0.0,211,15
22,23,4,67.48,5,0.0,130,15
23,24,2,26.92,5,0.0,57,15
24,25,4,68.48,5,68.48,211,18
25,26,4,97.84,14,0.0,35,18
26,27,3,247.74,1,0.0,66,18
27,28,1,37.67,6,0.0,205,19
28,29,2,39.88,1,0.0,100,19
29,30,3,7.08,12,0.0,203,19
30,31,2,9.8,6,0.0,81,20
31,32,4,153.64,7,0.0,77,20
32,33,3,208.86,7,0.0,54,20
33,34,1,27.86,11,0.0,4,22
34,35,1,74.86,13,0.0,52,22
35,36,1,46.62,15,0.0,184,22
36,37,4,168.32,14,0.0,118,29
37,38,1,13.63,12,0.0,96,29
38,39,1,77.83,5,0.0,246,29
39,40,4,73.08,13,0.0,149,31
40,41,4,158.32,12,0.0,125,31
41,42,2,130.32,7,0.0,114,31
42,43,1,12.17,13,0.0,182,40
43,44,4,158.32,12,158.32,125,40
44,45,1,4.9,6,9.8,81,40
45,46,2,166.42,9,0.0,233,41
46,47,4,79.2,7,0.0,7,41
47,48,3,46.5,5,0.0,216,41
48,49,4,70.4,11,70.4,192,42
49,50,1,35.03,8,70.06,194,42
50,51,2,123.12,5,0.0,151,42
51,52,1,3.28,1,6.56,44,44
52,53,4,68.2,4,0.0,174,44
53,54,3,155.67,7,0.0,68,44
54,55,3,28.2,3,47.0,175,45
55,56,2,60.56,14,0.0,198,45
56,57,4,54.52,12,13.63,96,45
57,58,4,158.32,12,316.64,125,47
58,59,4,42.32,6,0.0,122,47
59,60,2,47.52,9,0.0,181,47
60,61,1,61.65,11,0.0,62,48
61,62,1,86.33,8,0.0,127,48
62,63,1,12.17,13,12.17,182,48
63,64,4,187.92,9,0.0,22,50
64,65,4,107.64,8,0.0,195,50
65,66,4,33.32,13,0.0,38,50
66,67,4,39.68,5,0.0,214,1
67,68,1,67.88,12,0.0,17,1
68,69,2,32.26,10,0.0,92,1
69,70,2,92.3,3,0.0,83,6
70,71,3,48.39,10,32.26,92,6
71,72,2,18.94,8,9.47,196,6
72,73,4,140.12,8,105.09,194,10
73,74,2,10.98,3,0.0,36,10
74,75,1,34.22,1,0.0,47,10
75,76,1,34.85,6,0.0,108,17
76,77,4,37.88,8,28.41,196,17
77,78,1,9.94,10,9.94,193,17
78,79,2,156.7,15,0.0,227,24
79,80,1,75.56,5,0.0,37,24
80,81,3,31.59,15,0.0,177,24
81,82,1,65.72,6,0.0,107,32
82,83,1,37.67,6,37.67,205,32
83,84,1,17.87,8,0.0,171,32
84,85,1,57.78,15,0.0,126,34
85,86,4,150.68,6,-720.0,205,34
86,87,3,42.27,3,0.0,191,34
87,88,3,239.07,15,0.0,53,37
88,89,4,39.68,5,39.68,214,37
89,90,3,17.97,1,0.0,188,37
90,91,3,90.84,14,60.56,198,38
91,92,1,28.33,11,0.0,238,38
92,93,1,60.37,6,0.0,93,38
93,94,3,216.27,14,0.0,116,4
94,95,1,26.77,3,0.0,154,4
95,96,1,57.22,11,0.0,117,4
96,97,3,53.61,8,17.87,171,12
97,98,1,28.84,9,0.0,146,12
98,99,1,17.6,11,140.8,192,12
99,100,4,184.6,3,92.3,83,16
100,101,1,8.3,5,0.0,15,16
101,102,2,158.08,12,0.0,206,16
102,103,4,175.16,11,0.0,106,21
103,104,4,24.56,11,0.0,67,21
104,105,1,20.3,6,0.0,201,21
105,106,1,42.46,7,0.0,75,24
106,107,1,24.88,6,74.64,101,24
107,108,2,10.62,8,0.0,94,24
108,109,1,26.77,3,26.77,154,26
109,110,2,58.46,15,58.46,234,26
110,111,1,52.7,8,0.0,103,26
111,112,1,29.23,15,116.92,234,28
112,113,2,99.58,15,0.0,19,28
113,114,4,55.44,14,0.0,199,28
114,115,1,17.3,5,0.0,187,30
115,116,1,74.09,4,0.0,225,30
116,117,3,41.25,15,0.0,142,30
117,118,2,20.7,14,0.0,42,35
118,119,1,73.22,5,0.0,97,35
119,120,2,52.2,10,0.0,228,35
120,121,2,11.26,8,0.0,133,37
121,122,1,52.7,8,52.7,103,37
122,123,1,26.77,3,53.54,154,37
123,124,2,99.58,15,99.58,19,49
124,125,3,16.89,8,11.26,133,49
125,126,1,57.64,15,0.0,65,49
126,127,1,35.03,8,245.21,194,8
127,128,4,44.28,5,0.0,86,8
128,129,2,32.26,10,80.65,92,8
129,130,2,15.16,15,0.0,95,19
130,131,3,53.61,8,71.48,171,19
131,132,3,29.76,5,79.36,214,19
132,133,1,29.23,15,146.15,234,23
133,134,1,24.88,6,99.52,101,23
134,135,1,4.9,6,14.7,81,23
135,136,1,64.53,13,0.0,102,27
136,137,4,64.36,3,0.0,135,27
137,138,2,130.32,7,130.32,114,27
138,139,4,181.52,3,0.0,143,36
139,140,1,31.75,5,0.0,145,36
140,141,1,34.22,1,34.22,47,36
141,142,3,15.24,9,0.0,58,39
142,143,1,44.41,4,0.0,74,39
143,144,1,37.67,6,-569.32,205,39
144,145,2,19.88,10,19.88,193,3
145,146,1,34.18,10,0.0,159,3
146,147,3,82.2,9,0.0,63,3
147,148,1,39.06,5,0.0,89,7
148,149,1,28.33,6,56.66,61,7
149,150,3,104.55,6,34.85,108,7
150,151,1,25.99,7,51.98,190,14
151,152,4,38.72,7,0.0,207,14
152,153,4,115.36,9,28.84,146,14
153,154,3,74.64,6,124.4,101,23
154,155,1,66.85,4,0.0,88,23
155,156,1,46.67,8,0.0,73,23
156,157,3,26.52,8,0.0,85,46
157,158,4,13.12,1,9.84,44,46
158,159,1,85.73,9,171.46,230,46
159,160,3,33.87,3,33.87,84,1
160,161,2,10.98,3,10.98,36,1
161,162,2,19.34,9,0.0,200,1
162,163,1,43.79,11,175.16,106,25
163,164,2,27.64,3,0.0,245,25
164,165,2,18.82,7,0.0,69,25
165,166,2,36.44,2,0.0,232,29
166,167,1,9.92,5,109.12,214,29
167,168,2,56.34,7,0.0,222,29
168,169,3,15.24,9,15.24,58,33
169,170,1,28.33,11,28.33,238,33
170,171,3,91.95,4,0.0,134,33
171,172,2,10.98,3,21.96,36,1
172,173,3,150.6,7,0.0,204,1
173,174,3,84.51,7,56.34,222,1
174,175,1,12.17,12,0.0,49,6
175,176,4,241.48,6,60.37,93,6
176,177,1,46.15,3,276.9,83,6
177,178,1,62.8,12,0.0,50,11
178,179,2,52.2,10,52.2,228,11
179,180,1,86.0,9,0.0,12,11
180,181,1,2.36,12,7.08,203,12
181,182,3,169.44,4,0.0,8,12
182,183,4,48.68,13,24.34,182,12
183,184,2,105.62,14,0.0,110,14
184,185,3,54.15,11,0.0,34,14
185,186,3,41.46,3,27.64,245,14
186,187,1,46.67,8,46.67,73,16
187,188,1,31.95,4,0.0,90,16
