,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,2354,36990.3,132850.0,95859.6,1
1,2,1499,38158.5,100649.0,62490.1,1
2,3,2906,44697.0,149768.0,105071.0,1
3,4,2598,46745.3,133989.0,87244.0,1
4,5,2568,28814.2,95510.3,66696.1,1
5,6,2242,18742.8,75284.9,56542.1,1
6,7,992,26748.4,81408.4,54660.0,1
7,8,1718,35447.1,96936.6,61489.5,1
8,9,2572,25871.9,90431.1,64559.2,1
9,10,3027,53918.6,139591.0,85672.5,1
10,11,1883,35694.8,101415.0,65720.6,1
11,12,1141,13593.7,56741.8,43148.1,1
12,13,2780,33134.3,116691.0,83556.9,1
13,14,2537,33303.5,113248.0,79945.0,1
14,15,2919,48493.4,131773.0,83279.1,1
