,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,14.53,57,738,5.19,3778.32,10723.1,6944.82,10
1,2,45.44,52,333,16.23,5550.66,15131.5,9580.86,5
2,3,97.8,90,106,34.93,5379.22,10366.8,4987.58,1
3,4,127.26,110,46,45.45,4908.6,5853.96,945.36,2
4,5,119.06,64,71,42.52,3826.8,8453.26,4626.46,11
5,6,127.74,38,78,45.62,3010.92,9963.72,6952.8,8
6,7,10.11,29,784,3.61,2797.75,7926.24,5128.49,2
7,8,38.42,101,416,13.72,6571.88,15982.7,9410.84,7
8,9,17.53,149,686,6.26,4989.22,12025.6,7036.36,5
9,10,4.23,32,753,1.51,1132.5,3185.19,2052.69,5
10,11,47.43,64,380,16.94,6894.58,18023.4,11128.8,14
11,12,115.92,109,86,41.4,7162.2,9969.12,2806.92,15
12,13,13.47,27,814,4.81,3867.24,10964.6,7097.34,12
13,14,111.8,135,80,39.93,6229.08,8944.0,2714.92,15
14,15,110.12,43,91,39.33,3697.02,10020.9,6323.9,1
15,16,72.52,60,243,25.9,6941.2,17622.4,10681.2,13
16,17,45.39,131,420,16.21,7829.43,19063.8,11234.4,7
17,18,124.21,130,52,44.36,5589.36,6458.92,869.56,4
18,19,98.48,24,105,35.17,3059.79,10340.4,7280.61,2
19,20,4.54,77,883,1.62,1443.42,4008.82,2565.4,15
20,21,71.99,101,203,25.71,6298.95,14614.0,8315.02,3
21,22,50.15,110,358,17.91,7432.65,17953.7,10521.1,14
22,23,79.94,37,132,28.55,2912.1,10552.1,7639.98,14
23,24,21.31,33,600,7.61,4611.66,12786.0,8174.34,5
24,25,76.05,29,211,27.16,4725.84,16046.6,11320.7,14
25,26,82.68,53,139,29.53,4193.26,11492.5,7299.26,9
26,27,10.02,48,765,3.58,2724.38,7665.3,4940.92,10
27,28,14.5,42,725,5.18,3698.52,10512.5,6813.98,7
28,29,16.83,57,735,6.01,4603.66,12370.0,7766.39,4
29,30,83.97,33,154,29.99,4438.52,12931.4,8492.86,7
30,31,50.71,43,338,18.11,6157.4,17140.0,10982.6,8
31,32,77.34,88,169,27.62,5772.58,13070.5,7297.88,4
32,33,100.3,90,99,35.82,4799.88,9929.7,5129.82,13
33,34,25.0,61,617,8.93,5563.39,15425.0,9861.61,15
34,35,108.44,28,84,38.73,2672.37,9108.96,6436.59,1
35,36,71.37,118,183,25.49,6754.85,13060.7,6305.86,11
36,37,120.48,70,61,43.03,3227.25,7349.28,4122.03,6
37,38,43.76,54,411,15.63,6955.35,17985.4,11030.0,2
38,39,108.89,33,107,38.89,4316.79,11651.2,7334.44,15
39,40,11.54,68,708,4.12,2995.24,8170.32,5175.08,7
40,41,27.83,75,573,9.94,6053.46,15946.6,9893.13,9
41,42,47.18,107,373,16.85,7211.8,17598.1,10386.3,10
42,43,135.13,51,59,48.26,4246.88,7972.67,3725.79,13
43,44,89.57,67,138,31.99,5118.4,12360.7,7242.26,1
44,45,134.88,75,52,48.17,3901.77,7013.76,3111.99,8
45,46,43.29,81,383,15.46,6616.88,16580.1,9963.19,9
46,47,25.34,82,584,9.05,5448.1,14798.6,9350.46,6
47,48,65.24,43,229,23.3,5172.6,14940.0,9767.36,13
48,49,49.2,122,319,17.57,7150.99,15694.8,8543.81,14
49,50,31.11,160,461,11.11,6243.82,14341.7,9653.29,7
50,51,16.32,68,652,5.83,3882.78,10640.6,6757.86,3
51,52,138.18,67,52,49.35,3306.45,7185.36,3878.91,15
52,53,18.03,50,651,6.44,4218.2,11737.5,7519.33,3
53,54,83.02,85,161,29.65,6463.7,13366.2,6902.52,5
54,55,13.41,80,745,4.79,3788.89,9990.45,6201.56,7
55,56,140.62,29,39,50.22,0.0,5484.18,5484.18,14
56,57,14.5,60,750,5.18,3926.44,10875.0,6948.56,13
57,58,79.83,131,188,28.51,7355.58,15008.0,7652.46,13
58,59,108.61,74,86,38.79,3840.21,9340.46,5500.25,3
59,60,24.84,55,616,8.87,5659.06,15301.4,9642.38,6
60,61,46.23,53,349,16.51,6306.82,16134.3,9827.45,12
61,62,84.9,78,193,30.32,6488.48,16385.7,9897.22,11
62,63,31.08,139,506,11.1,6870.9,15726.5,8855.58,9
63,64,80.75,47,165,28.84,4297.16,13323.8,9026.59,3
64,65,35.36,65,455,12.63,6289.74,16088.8,9799.06,10
65,66,108.0,40,87,38.57,2391.34,9396.0,7004.66,11
66,67,25.93,99,624,9.26,6157.9,16180.3,10022.4,11
67,68,111.47,87,86,39.81,4976.25,9586.42,4610.17,1
68,69,16.02,93,651,5.72,4049.76,10429.0,6379.26,6
69,70,125.41,136,70,44.79,7838.25,8778.7,940.45,6
70,71,26.77,30,539,9.56,5105.04,14429.0,9323.99,10
71,72,62.97,146,243,22.49,7331.74,15301.7,10871.2,5
72,73,114.63,88,78,40.94,4216.82,8941.14,4724.32,1
73,74,65.41,93,233,23.36,6657.6,15240.5,8582.93,8
74,75,120.12,44,69,42.9,3903.9,8288.28,4384.38,12
