,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,7014,203085.0,261694.0,58608.6,1
1,2,10146,227948.0,307333.0,79385.0,1
2,3,10629,213531.0,290559.0,77027.6,1
3,4,10478,171151.0,238310.0,67158.6,1
4,5,7162,197067.0,260447.0,63380.3,1
5,6,14453,291203.0,395832.0,104629.0,1
6,7,15581,295442.0,393487.0,98044.4,1
7,8,7018,163630.0,228238.0,64607.9,1
8,9,14537,293691.0,394442.0,100751.0,1
9,10,14850,328793.0,436496.0,107704.0,1
10,11,6477,188421.0,251040.0,62619.2,1
11,12,14553,255269.0,353842.0,98572.2,1
12,13,4927,122510.0,160944.0,38434.9,1
13,14,10697,190943.0,260305.0,69361.5,1
14,15,10430,248482.0,335318.0,86836.9,1
