,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,45.19,21,444,35.03,15553.4,20064.4,4581.06,15
1,2,27.93,21,702,21.82,15317.7,19606.9,4376.43,6
2,3,16.59,21,886,12.2,10809.3,14698.7,3938.25,14
3,4,58.91,47,323,45.67,13701.0,19027.9,5326.93,3
4,5,33.29,21,656,26.01,17062.4,21838.2,4879.83,13
5,6,46.05,20,474,35.7,16886.2,21827.7,5048.64,11
6,7,13.97,17,997,9.91,9840.7,13928.1,4107.21,4
7,8,36.56,16,532,28.56,15051.0,19449.9,4484.57,4
8,9,62.03,72,266,48.46,12841.9,16500.0,3658.08,15
9,10,20.14,17,893,15.26,13566.0,17985.0,4434.28,10
10,11,42.06,21,563,32.86,18500.2,23679.8,5311.0,9
11,12,51.51,25,446,39.62,17432.8,22973.5,5540.65,9
12,13,9.9,26,1008,3.56,3332.16,9979.2,6647.04,6
13,14,41.01,21,501,32.04,16052.1,20546.0,4558.03,6
14,15,44.52,21,473,34.51,16323.1,21058.0,4803.83,8
15,16,23.69,21,684,18.22,12462.5,16204.0,3814.38,3
16,17,43.64,21,529,33.83,17896.1,23085.6,5223.29,10
17,18,13.21,21,992,9.11,9037.11,13104.3,4076.32,4
18,19,35.17,21,619,27.48,17010.3,21770.2,4842.41,6
19,20,27.07,21,729,21.15,15418.5,19734.0,4484.78,7
20,21,52.3,23,357,40.23,12672.4,18671.1,5998.65,6
21,22,57.38,41,364,44.48,14678.4,20886.3,6207.92,12
22,23,33.08,21,693,25.84,17907.0,22924.4,5094.92,15
23,24,30.08,20,654,23.5,15345.5,19672.3,4350.32,5
24,25,20.89,21,860,15.95,13717.1,17965.4,4264.24,6
25,26,46.22,21,435,35.83,15586.1,20105.7,4555.45,10
26,27,59.6,21,335,46.2,13305.6,19966.0,6660.4,14
27,28,63.08,45,325,49.28,14784.0,20501.0,5717.0,9
28,29,41.65,21,482,32.54,15684.3,20075.3,4423.54,2
29,30,5.21,167,1185,1.66,1965.44,6173.85,4454.09,14
30,31,61.2,51,361,47.81,16064.2,22093.2,6029.04,2
31,32,36.58,17,626,28.58,17776.8,22899.1,5208.02,1
32,33,54.38,59,361,41.83,15058.8,19631.2,4572.38,3
33,34,18.27,21,945,13.74,12984.4,17265.2,4321.92,6
34,35,27.67,20,666,21.62,14377.4,18428.2,4094.09,12
35,36,39.03,21,588,30.49,17928.2,22949.6,5112.88,9
36,37,20.37,18,788,15.43,12112.5,16051.6,3954.48,7
37,38,62.96,24,296,49.19,12297.5,18636.2,6338.66,5
38,39,61.7,42,302,48.2,13014.0,18633.4,5619.4,2
39,40,34.84,21,570,27.22,15515.4,19858.8,4370.67,5
40,41,60.23,34,315,46.69,13166.6,18972.4,5805.87,3
41,42,55.24,58,391,42.49,16571.1,21598.8,6684.85,13
42,43,61.58,66,278,48.11,12989.7,17119.2,4129.54,15
43,44,13.8,19,1007,9.72,9768.64,13896.6,4157.12,7
44,45,54.85,46,374,42.19,15188.4,20513.9,5325.5,11
45,46,33.19,21,620,25.93,16076.5,20577.8,4527.2,1
46,47,15.19,17,866,11.01,9490.51,13154.5,3697.06,12
47,48,41.1,21,536,32.11,17211.0,22029.6,4850.69,14
48,49,25.06,21,740,19.43,14378.1,18544.4,4185.7,7
49,50,50.34,22,434,38.72,16727.0,21847.6,5120.53,13
50,51,17.41,21,870,12.99,11301.4,15146.7,3858.26,7
51,52,42.48,22,433,33.19,14338.1,18393.8,4155.32,10
52,53,43.72,21,480,33.89,16267.1,20985.6,4854.03,1
53,54,41.6,21,440,32.5,14300.0,18304.0,4036.5,9
54,55,14.96,21,870,10.76,9361.09,13015.2,3675.63,14
55,56,15.3,21,880,11.09,9759.13,13464.0,3738.13,11
56,57,36.35,20,621,28.4,17608.1,22573.3,5050.44,5
57,58,15.4,17,845,11.16,9385.62,13013.0,3638.54,10
58,59,58.84,58,362,45.61,15963.5,21300.1,5336.58,15
59,60,56.64,58,391,43.57,16992.3,22146.2,6853.17,12
60,61,10.51,26,930,6.04,5339.36,9774.3,4434.94,14
61,62,21.13,21,823,16.13,13274.9,17390.0,4179.6,9
62,63,12.46,23,1042,8.09,8365.07,12983.3,4618.25,7
63,64,59.98,25,331,46.5,13392.0,19853.4,6461.38,8
64,65,47.94,20,461,36.88,16964.8,22100.3,5246.21,10
65,66,56.72,30,380,43.63,15314.1,21553.6,6239.47,9
66,67,39.45,21,525,30.82,16180.6,20711.2,4561.51,2
67,68,22.28,21,800,17.14,13711.9,17824.0,4129.23,7
68,69,16.22,21,879,11.93,10486.5,14257.4,3782.85,3
69,70,60.02,31,277,46.53,11167.2,16625.5,5458.34,11
70,71,10.01,48,1034,5.44,5456.32,10350.3,4894.02,6
71,72,60.7,53,315,47.42,13751.8,19120.5,5368.7,11
72,73,38.14,21,586,29.8,17462.8,22350.0,4917.09,13
73,74,36.29,21,528,28.35,14968.7,19161.1,4220.74,2
74,75,52.2,47,423,40.15,16260.8,22080.6,5819.85,6
75,76,30.91,21,710,24.15,17146.6,21946.1,4823.63,10
76,77,21.1,14,825,16.11,13178.1,17407.5,4245.54,4
77,78,16.48,21,866,12.12,10496.0,14271.7,3824.16,9
78,79,21.84,20,713,16.67,11869.0,15571.9,3752.93,7
79,80,57.83,56,335,44.83,14255.9,19373.1,5117.11,6
80,81,11.12,67,1057,6.7,7075.2,11753.8,5000.24,2
81,82,9.87,65,992,5.25,5124.0,9791.04,4667.04,4
82,83,42.27,22,540,33.02,17830.8,22825.8,5127.09,4
83,84,57.56,24,374,44.62,14456.9,21527.4,7070.56,12
84,85,62.77,33,344,49.04,15006.2,21592.9,6586.64,15
85,86,60.37,67,376,46.8,17596.8,22699.1,7301.92,5
86,87,22.27,21,774,17.13,13258.5,17237.0,3995.57,10
87,88,14.28,21,1003,10.2,10230.7,14322.8,4132.94,7
88,89,29.38,20,666,22.95,15261.8,19567.1,4374.09,6
89,90,16.66,21,968,12.34,11945.0,16126.9,4206.53,15
90,91,11.77,37,1027,7.31,7368.48,12087.8,4719.31,12
91,92,60.46,53,343,46.87,15420.2,20737.8,5317.55,12
92,93,14.57,21,925,10.41,9629.32,13477.2,3879.16,15
93,94,21.84,21,861,16.67,14352.8,18804.2,4501.43,14
94,95,45.56,21,529,35.32,18684.4,24101.2,5452.21,14
95,96,53.73,60,370,41.33,15250.8,19880.1,4629.33,8
96,97,54.12,55,445,41.63,18317.2,24083.4,5766.2,15
97,98,4.03,80,1132,1.27,1324.61,4561.96,3237.35,6
98,99,34.29,21,615,26.79,16475.9,21088.3,4692.85,7
99,100,15.22,18,1004,11.03,11041.0,15280.9,4272.94,13
100,101,28.2,21,673,22.03,14826.2,18978.6,4218.45,2
101,102,55.81,56,354,42.93,15068.4,19756.7,4688.31,3
102,103,63.41,75,293,49.93,14479.7,18579.1,6995.37,1
103,104,28.53,21,738,22.29,16450.0,21055.1,4627.39,1
104,105,33.06,21,652,25.83,16841.2,21555.1,4791.41,11
105,106,63.67,42,263,50.13,11429.6,16745.2,5315.57,5
106,107,48.57,21,421,37.36,15728.6,20448.0,4756.71,10
107,108,30.87,21,592,24.12,14279.1,18275.0,4044.18,1
108,109,24.74,15,759,19.18,14442.5,18777.7,4354.37,10
109,110,48.07,21,496,36.98,18342.2,23842.7,5537.5,8
110,111,41.22,21,514,32.2,16550.9,21187.1,4668.41,15
