,0,1
0,1,142
1,2,30
2,3,133
3,4,42
4,5,142
5,6,141
6,7,131
7,8,141
8,9,1
9,10,136
10,11,143
11,12,141
12,13,73
13,14,140
14,15,141
15,16,34
16,17,142
17,18,131
18,19,142
19,20,30
20,21,141
21,22,41
22,23,32
23,24,31
24,25,36
25,26,142
26,27,41
27,28,1
28,29,141
29,30,130
30,31,1
31,32,141
32,33,37
33,34,136
34,35,32
35,36,139
36,37,136
37,38,1
38,39,1
39,40,141
40,41,1
41,42,37
42,43,1
43,44,130
44,45,36
45,46,33
46,47,133
47,48,140
48,49,31
49,50,141
50,51,134
51,52,140
52,53,142
53,54,141
54,55,132
55,56,134
56,57,141
57,58,135
58,59,41
59,60,39
60,61,72
61,62,33
62,63,89
63,64,42
64,65,142
65,66,39
66,67,140
67,68,35
68,69,132
69,70,43
70,71,73
71,72,1
72,73,141
73,74,140
74,75,143
75,76,30
76,77,33
77,78,133
78,79,33
79,80,39
80,81,71
81,82,71
82,83,140
83,84,38
84,85,1
85,86,1
86,87,35
87,88,133
88,89,32
89,90,134
90,91,73
91,92,1
92,93,131
93,94,33
94,95,140
95,96,35
96,97,36
97,98,129
98,99,140
99,100,134
100,101,31
101,102,36
102,103,1
103,104,32
104,105,32
105,106,1
106,107,141
107,108,32
108,109,33
109,110,143
110,111,140
111,112,142
112,113,136
113,114,39
114,115,37
115,116,72
116,117,31
117,118,141
118,119,31
119,120,1
120,121,140
121,122,129
122,123,73
123,124,31
124,125,141
125,126,140
126,127,131
127,128,31
128,129,133
129,130,1
130,131,32
131,132,143
132,133,33
133,134,1
134,135,33
135,136,132
136,137,141
137,138,139
138,139,38
139,140,33
140,141,33
141,142,134
142,143,134
143,144,141
144,145,31
145,146,31
146,147,141
147,148,141
148,149,73
149,150,34
150,151,86
151,152,89
152,153,141
153,154,1
154,155,88
155,156,72
156,157,132
157,158,30
158,159,141
159,160,142
160,161,33
161,162,31
162,163,35
163,164,141
164,165,32
165,166,71
166,167,132
167,168,141
168,169,30
169,170,1
170,171,142
171,172,132
172,173,33
173,174,31
174,175,31
175,176,31
176,177,1
177,178,138
178,179,36
179,180,74
180,181,142
181,182,1
182,183,139
183,184,142
184,185,1
185,186,140
186,187,144
187,188,142
188,189,140
189,190,135
190,191,40
191,192,1
192,193,133
193,194,32
194,195,143
195,196,30
196,197,40
197,198,31
198,199,141
199,200,40
200,201,39
201,202,140
202,203,140
203,204,33
204,205,143
205,206,1
206,207,42
207,208,71
208,209,31
209,210,31
210,211,1
211,212,72
212,213,135
213,214,32
214,215,38
215,216,131
216,217,71
217,218,32
218,219,141
219,220,141
220,221,141
221,222,36
222,223,71
223,224,139
224,225,133
225,226,38
226,227,142
227,228,143
228,229,137
229,230,72
230,231,133
231,232,140
232,233,141
233,234,141
234,235,31
235,236,37
236,237,1
237,238,31
238,239,135
239,240,133
240,241,1
241,242,71
242,243,129
243,244,141
244,245,31
245,246,139
246,247,30
247,248,138
248,249,134
249,250,141
