,idVenda,Quantidade,vendaValor,Departamento,prodLucro,Produto_idProduto,Cliente_idCliente
0,1,1,44.24,15,0.0,173,5
1,2,4,193.8,3,0.0,134,5
2,3,1,64.83,11,0.0,105,5
3,4,2,73.1,12,0.0,47,6
4,5,1,28.31,7,0.0,63,6
5,6,1,69.18,10,0.0,219,6
6,7,1,60.53,3,0.0,102,8
7,8,2,99.68,7,0.0,37,8
8,9,1,45.57,10,0.0,87,8
9,10,1,57.74,2,0.0,125,19
10,11,4,239.48,2,0.0,29,19
11,12,4,15.4,9,0.0,243,19
12,13,2,100.74,7,0.0,99,22
13,14,1,51.18,15,0.0,119,22
14,15,3,147.72,8,0.0,178,22
15,16,2,120.64,2,0.0,175,26
16,17,1,27.88,8,0.0,116,26
17,18,4,202.24,2,0.0,192,26
18,19,2,80.0,9,0.0,78,28
19,20,1,28.31,7,28.31,63,28
20,21,1,25.93,2,0.0,81,28
21,22,3,171.84,2,0.0,101,31
22,23,4,216.32,4,0.0,145,31
23,24,1,28.31,7,56.62,63,31
24,25,4,205.88,6,0.0,154,32
25,26,1,23.36,3,0.0,217,32
26,27,4,148.2,10,0.0,58,32
27,28,2,125.62,8,0.0,15,37
28,29,2,55.72,10,0.0,155,37
29,30,3,141.51,15,0.0,239,37
30,31,2,118.5,11,0.0,232,44
31,32,1,54.0,5,0.0,138,44
32,33,2,103.32,6,0.0,19,44
33,34,2,51.86,2,25.93,81,48
34,35,1,4.0,12,0.0,122,48
35,36,1,59.44,6,0.0,89,48
36,37,2,113.46,6,0.0,2,1
37,38,2,9.58,6,0.0,98,1
38,39,3,63.75,10,0.0,156,1
39,40,4,132.0,4,0.0,7,2
40,41,3,42.09,6,0.0,13,2
41,42,1,60.61,9,0.0,139,2
42,43,2,94.6,13,0.0,140,9
43,44,2,75.34,9,0.0,172,9
44,45,3,107.16,14,0.0,55,9
45,46,1,43.33,2,0.0,141,14
46,47,2,65.6,2,0.0,127,14
47,48,2,110.52,12,0.0,164,14
48,49,4,246.08,8,0.0,226,15
49,50,2,101.48,10,0.0,126,15
50,51,1,4.79,6,9.58,98,15
51,52,1,44.34,14,0.0,94,16
52,53,1,48.28,3,0.0,16,16
53,54,1,63.93,14,0.0,95,16
54,55,2,100.02,1,0.0,246,18
55,56,1,61.88,5,0.0,215,18
56,57,2,118.5,15,0.0,111,18
57,58,2,61.38,3,0.0,216,20
58,59,2,109.96,5,0.0,203,20
59,60,1,53.11,5,0.0,57,20
60,61,1,3.85,9,15.4,243,21
61,62,3,163.8,11,0.0,165,21
62,63,3,132.3,6,0.0,135,21
63,64,4,189.08,5,0.0,86,29
64,65,1,28.54,2,0.0,180,29
65,66,3,151.29,1,0.0,103,29
66,67,3,188.94,3,0.0,174,35
67,68,1,62.77,9,0.0,202,35
68,69,3,141.48,3,0.0,41,35
69,70,3,153.3,7,0.0,49,38
70,71,3,141.24,12,0.0,130,38
71,72,1,60.81,7,0.0,194,38
72,73,3,83.58,10,55.72,155,40
73,74,1,59.82,3,0.0,33,40
74,75,3,173.22,2,57.74,125,40
75,76,1,35.72,14,107.16,55,42
76,77,1,42.91,9,0.0,62,42
77,78,2,94.54,5,189.08,86,42
78,79,1,64.86,15,0.0,23,45
79,80,1,63.47,7,0.0,131,45
80,81,2,67.54,9,0.0,167,45
