,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,16909,290819.0,332408.0,41588.7,1
1,2,13235,159232.0,184669.0,25437.2,1
2,3,9328,204204.0,241021.0,36816.8,1
3,4,13391,381137.0,430607.0,49470.0,1
4,5,12412,236771.0,278945.0,42174.2,1
5,6,15463,279605.0,321050.0,41445.1,1
6,7,8979,185711.0,217994.0,32283.1,1
7,8,14207,342040.0,390624.0,48583.7,1
8,9,17703,367103.0,426155.0,59052.0,1
9,10,11833,327080.0,382393.0,55313.0,1
10,11,16375,452769.0,516349.0,63579.6,1
11,12,14236,325493.0,375064.0,49570.8,1
12,13,10503,225808.0,263462.0,37653.5,1
13,14,15600,290629.0,341696.0,51067.7,1
14,15,10960,135619.0,163124.0,27505.1,1
