,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,45.73,139,554,38.11,24962.1,25334.4,372.369,12
1,2,47.53,92,516,39.61,21745.9,24525.5,2779.59,9
2,3,24.2,112,895,20.17,19101.0,21659.0,2558.01,4
3,4,49.26,88,548,41.05,23480.6,26994.5,3513.88,8
4,5,56.7,41,397,47.25,19325.2,22509.9,3184.65,1
5,6,36.98,108,595,30.82,19694.0,22003.1,5021.28,9
6,7,19.19,103,1001,15.99,17253.2,19209.2,1955.98,9
7,8,18.74,32,1034,15.62,16322.9,19377.2,3054.26,1
8,9,46.6,71,542,38.83,21861.3,25257.2,3395.91,6
9,10,18.35,78,977,15.29,15809.9,17928.0,2118.09,11
10,11,1.68,41,1432,1.4,1976.8,2405.76,428.96,12
11,12,13.4,62,1088,11.17,12264.7,14579.2,2314.54,1
12,13,29.35,120,831,24.46,21744.9,24389.8,2644.91,8
13,14,33.61,23,707,28.01,19382.9,23762.3,4379.35,9
14,15,26.46,97,791,22.05,18147.1,20929.9,2782.71,8
15,16,15.96,47,900,13.3,12089.7,14364.0,2274.3,3
16,17,4.12,66,1283,3.43,4424.7,5285.96,861.26,11
17,18,59.42,61,430,49.52,22185.0,25550.6,3365.64,10
18,19,50.41,106,489,42.01,23987.7,24650.5,662.781,7
19,20,22.93,66,854,19.11,16606.6,19582.2,2975.63,8
20,21,16.03,110,998,13.36,14509.0,15997.9,1488.98,5
21,22,21.06,33,857,17.55,14987.7,18048.4,3060.72,4
22,23,57.41,35,448,47.84,20858.2,25719.7,4861.44,6
23,24,6.49,109,1235,5.41,7119.56,8015.15,895.59,13
24,25,21.72,59,936,18.1,16959.7,20329.9,3370.22,1
25,26,27.35,20,767,22.79,17183.7,20977.5,3793.79,8
26,27,15.53,28,1064,12.94,13845.8,16523.9,2678.12,14
27,28,37.04,22,656,30.87,19571.6,24298.2,4726.66,10
28,29,13.18,59,1156,10.98,12890.5,15236.1,2773.78,15
29,30,12.64,22,1063,10.53,10919.6,13436.3,2516.71,2
30,31,38.72,72,662,32.27,22266.3,25632.6,3366.34,12
31,32,34.54,80,726,28.78,22621.1,25076.0,2454.96,3
32,33,16.24,36,1015,13.53,13922.4,16483.6,2561.23,14
33,34,9.14,87,1090,7.62,8503.92,9962.6,1458.68,6
34,35,27.74,136,842,23.12,21177.9,23357.1,2179.16,1
35,36,29.57,55,747,24.64,18775.7,22088.8,3313.11,2
36,37,16.84,56,1026,14.03,14591.2,17277.8,2686.64,4
37,38,1.42,56,1361,1.18,1591.82,1932.62,340.8,15
38,39,27.04,34,827,22.53,18091.6,22362.1,4270.49,15
39,40,44.3,46,624,36.92,23555.0,27643.2,4088.24,4
40,41,26.65,83,833,22.21,19389.3,22199.4,2810.12,1
41,42,22.68,58,851,18.9,16537.5,19300.7,2763.18,12
42,43,54.84,50,449,45.7,20702.1,24623.2,3921.06,5
43,44,14.45,55,1119,12.04,13797.8,16169.5,2371.71,15
44,45,21.64,95,905,18.03,17020.3,19584.2,2563.88,3
45,46,36.46,76,655,30.38,21478.7,23881.3,2402.64,5
46,47,61.12,34,356,50.93,17316.2,21758.7,4442.52,8
47,48,32.57,57,684,27.14,19378.0,22277.9,2899.92,10
48,49,22.66,64,941,18.88,18049.3,21323.1,3273.78,14
49,50,27.84,27,847,23.2,19047.2,23580.5,4533.28,10
50,51,30.67,63,753,25.56,19579.0,23094.5,3515.55,8
51,52,53.96,38,433,44.97,18662.6,23364.7,4702.13,5
52,53,37.1,73,718,30.92,23190.0,26637.8,3447.8,13
53,54,1.24,24,1378,1.03,1381.23,1708.72,327.49,15
54,55,17.77,47,956,14.81,14558.2,16988.1,2429.89,9
55,56,16.55,94,1156,13.79,16299.8,19131.8,2832.02,7
56,57,18.68,26,943,15.57,14402.2,17615.2,3212.99,13
57,58,8.42,116,1162,7.02,8697.78,9784.04,1086.26,5
58,59,11.74,45,1028,9.78,10044.1,12068.7,2024.66,13
59,60,25.78,40,918,21.48,20040.8,23666.0,3625.2,6
60,61,13.6,42,1089,11.33,12066.4,14810.4,2743.95,4
61,62,38.06,137,673,31.72,24487.8,25614.4,4837.78,6
62,63,53.12,23,441,44.27,19478.8,23425.9,3947.12,11
63,64,60.13,44,337,50.11,16436.1,20263.8,3827.73,11
64,65,39.22,90,607,32.68,21764.9,23806.5,2041.66,2
65,66,20.7,34,954,17.25,15956.2,19747.8,3791.55,12
66,67,14.03,105,1083,11.69,13092.8,15194.5,2101.69,11
67,68,46.34,48,520,38.62,19580.3,24096.8,4516.46,10
68,69,1.49,49,1379,1.24,1708.72,2054.71,345.99,1
69,70,45.28,67,539,37.73,20487.4,24405.9,3918.53,9
70,71,36.59,111,671,30.49,22013.8,24551.9,2538.11,1
71,72,23.95,22,834,19.96,15808.3,19974.3,4165.98,12
72,73,4.94,37,1286,4.12,5318.92,6352.84,1033.92,1
73,74,33.97,138,762,28.31,24488.2,25885.1,1396.99,10
74,75,4.74,93,1222,3.95,5087.6,5792.28,704.68,6
75,76,15.55,26,1002,12.96,12545.3,15581.1,3035.82,2
76,77,50.06,59,512,41.72,21611.0,25630.7,4019.76,12
77,78,4.07,73,1330,3.39,4603.62,5413.1,809.48,2
78,79,25.68,33,862,21.4,18018.8,22136.2,4117.36,11
79,80,33.29,101,741,27.74,22164.3,24667.9,2503.63,14
80,81,51.49,41,529,42.91,21669.6,27238.2,5568.66,10
81,82,45.52,31,562,37.93,20216.7,25582.2,5365.55,11
82,83,6.97,81,1235,5.81,7465.85,8607.95,1142.1,9
83,84,48.61,44,507,40.51,21389.3,24645.3,3255.99,15
84,85,21.43,77,1007,17.86,18288.6,21580.0,3291.37,2
85,86,27.54,107,778,22.95,19576.4,21426.1,1849.77,13
86,87,50.9,59,539,42.42,22991.6,27435.1,4443.46,4
87,88,43.97,86,544,36.64,21214.6,23919.7,2705.12,8
88,89,9.12,39,1159,7.6,8869.2,10570.1,1700.88,9
89,90,28.82,24,735,24.02,16669.9,21182.7,4512.82,9
90,91,58.18,63,348,48.48,17695.2,20246.6,2551.44,10
91,92,12.43,72,1089,10.36,11396.0,13536.3,2140.27,7
92,93,26.34,130,774,21.95,19162.3,20387.2,1224.81,4
93,94,32.36,65,726,26.97,20308.4,23493.4,3184.95,4
94,95,2.28,37,1335,1.9,2504.2,3043.8,539.6,1
95,96,56.29,42,438,46.91,21437.9,24655.0,3217.15,11
