,idVenda,Quantidade,vendaValor,Departamento,prodLucro,Produto_idProduto,Cliente_idCliente
0,1,3,118.05,5,0.0,180,1
1,2,4,93.76,12,0.0,76,1
2,3,4,12.56,10,0.0,46,1
3,4,2,144.14,1,0.0,71,3
4,5,3,159.33,9,0.0,36,3
5,6,3,45.24,10,0.0,111,3
6,7,4,95.8,3,0.0,204,7
7,8,1,74.65,12,0.0,75,7
8,9,4,65.96,5,0.0,58,7
9,10,4,142.32,14,0.0,8,8
10,11,1,54.96,2,0.0,103,8
11,12,3,67.53,4,0.0,72,8
12,13,2,134.78,6,0.0,65,10
13,14,3,147.6,2,0.0,191,10
14,15,2,39.14,11,0.0,97,10
15,16,1,4.73,13,0.0,169,11
16,17,3,128.82,15,0.0,244,11
17,18,2,119.98,6,0.0,157,11
18,19,2,131.06,13,0.0,94,12
19,20,1,66.71,12,0.0,156,12
20,21,2,19.08,12,0.0,122,12
21,22,1,49.65,4,0.0,80,13
22,23,2,122.0,10,0.0,11,13
23,24,2,29.8,14,0.0,199,13
24,25,3,65.04,5,0.0,120,16
25,26,4,123.08,1,0.0,186,16
26,27,1,41.22,14,0.0,59,16
27,28,4,81.6,10,0.0,242,17
28,29,1,42.33,4,0.0,247,17
29,30,4,148.24,2,0.0,202,17
30,31,1,25.5,1,0.0,12,18
31,32,2,93.26,4,0.0,40,18
32,33,2,18.9,7,0.0,109,18
33,34,1,52.73,4,0.0,86,19
34,35,3,129.21,1,0.0,19,19
35,36,1,3.14,14,0.0,174,19
36,37,1,11.9,1,0.0,63,23
37,38,2,85.64,7,0.0,176,23
38,39,3,35.52,14,0.0,23,23
39,40,1,2.02,13,0.0,107,24
40,41,4,211.28,4,0.0,216,24
41,42,1,39.68,2,0.0,62,24
42,43,4,53.16,4,0.0,189,25
43,44,1,72.45,8,0.0,60,25
44,45,2,58.82,5,0.0,201,25
45,46,1,35.58,14,142.32,8,26
46,47,3,38.28,12,0.0,170,26
47,48,2,153.72,3,0.0,196,26
48,49,4,23.44,13,0.0,222,27
49,50,1,72.07,1,144.14,71,27
50,51,3,229.71,1,0.0,227,27
51,52,1,45.6,4,0.0,229,28
52,53,3,183.0,10,122.0,11,28
53,54,2,4.08,4,0.0,223,28
54,55,2,72.64,11,0.0,20,29
55,56,3,184.23,10,0.0,172,29
56,57,3,31.8,4,0.0,139,29
57,58,4,59.92,7,0.0,164,30
58,59,2,109.92,2,54.96,103,30
59,60,3,88.05,14,0.0,9,30
60,61,3,85.56,8,0.0,127,31
61,62,3,39.69,6,0.0,226,31
62,63,2,60.5,8,0.0,124,31
63,64,3,56.58,13,0.0,6,34
64,65,3,49.47,5,65.96,58,34
65,66,3,154.38,14,0.0,81,34
66,67,1,9.45,7,18.9,109,35
67,68,2,124.82,6,0.0,114,35
68,69,1,56.47,12,0.0,200,35
69,70,4,113.8,8,0.0,238,36
70,71,2,79.36,2,39.68,62,36
71,72,2,80.4,11,0.0,118,36
72,73,1,32.98,5,0.0,220,39
73,74,3,54.09,13,0.0,231,39
74,75,4,150.04,5,0.0,26,39
75,76,3,17.58,13,23.44,222,44
76,77,4,231.68,8,0.0,250,44
77,78,2,136.0,4,0.0,239,44
78,79,1,39.06,3,0.0,207,45
79,80,3,202.14,12,0.0,45,45
80,81,4,70.92,12,0.0,87,45
81,82,1,32.13,11,0.0,105,2
82,83,2,10.94,7,0.0,37,2
83,84,1,30.76,8,0.0,160,2
84,85,4,59.56,7,0.0,245,4
85,86,2,129.44,15,0.0,68,4
86,87,1,27.3,12,0.0,134,4
87,88,1,45.86,6,0.0,210,5
88,89,1,28.24,7,0.0,25,5
89,90,2,21.2,4,31.8,139,5
90,91,2,19.08,12,19.08,122,6
91,92,3,113.34,8,0.0,179,6
92,93,2,54.6,12,27.3,134,6
93,94,3,90.66,10,0.0,155,15
94,95,2,93.26,4,93.26,40,15
95,96,3,38.28,12,38.28,170,15
96,97,3,42.39,6,0.0,162,16
97,98,1,10.52,5,0.0,13,16
98,99,4,26.76,3,0.0,166,16
99,100,1,65.4,5,0.0,146,20
100,101,3,147.6,2,147.6,191,20
101,102,2,23.34,14,0.0,187,20
102,103,3,56.58,13,56.58,6,22
103,104,1,67.48,11,0.0,101,22
104,105,1,14.75,8,0.0,49,22
105,106,2,9.3,1,0.0,121,23
106,107,4,114.08,8,85.56,127,23
