,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,6047,131595.0,193630.0,62034.5,1
1,2,5024,127288.0,180379.0,53090.3,1
2,3,5521,151792.0,235248.0,83455.8,1
3,4,12024,219501.0,348286.0,128786.0,1
4,5,6490,98101.6,157440.0,59338.0,1
5,6,6095,153653.0,231877.0,78224.3,1
6,7,8727,179665.0,286139.0,106473.0,1
7,8,7578,182060.0,298513.0,116452.0,1
8,9,15658,270814.0,430446.0,159632.0,1
9,10,6152,114928.0,175792.0,60864.0,1
10,11,7044,139524.0,211510.0,71985.3,1
11,12,8378,178784.0,286156.0,107372.0,1
12,13,9009,226294.0,331243.0,104949.0,1
13,14,4692,82000.7,127696.0,45695.1,1
14,15,3830,110209.0,160661.0,50451.7,1
