,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,136.75,101,68,50.65,6736.45,9299.0,2562.55,11
1,2,134.38,52,41,49.77,1592.64,5509.58,5509.58,3
2,3,38.66,105,446,14.32,7603.92,17242.4,9638.44,5
3,4,80.43,44,168,29.79,4885.56,13512.2,8626.68,12
4,5,34.59,64,464,12.81,6174.42,16049.8,9875.34,10
5,6,125.87,26,64,46.62,2284.38,8055.68,5771.3,10
6,7,70.44,32,170,26.09,4748.38,11974.8,7226.42,11
7,8,17.25,127,692,6.39,5048.1,11937.0,6888.9,12
8,9,59.51,132,259,22.04,8022.56,15413.1,7390.53,10
9,10,90.4,47,126,33.48,3716.28,11390.4,7674.12,12
10,11,26.54,33,556,9.83,5219.73,14756.2,9536.51,12
11,12,108.57,23,79,40.21,2493.02,8577.03,6084.01,12
12,13,97.61,26,126,36.15,4735.65,12298.9,7563.21,10
13,14,46.98,92,360,17.4,7029.6,16912.8,9883.2,8
14,15,12.53,93,720,4.64,3558.88,9021.6,5462.72,11
15,16,9.15,49,823,3.39,2834.04,7530.45,4696.41,9
16,17,58.35,68,213,21.61,5445.72,12428.5,6982.83,11
17,18,47.3,24,358,17.52,5764.08,16933.4,11169.3,7
18,19,82.24,102,136,30.46,5756.94,11184.6,5427.7,11
19,20,102.14,77,83,37.83,5220.54,8477.62,3257.08,8
20,21,119.34,34,73,44.2,3270.8,8711.82,5441.02,2
21,22,129.55,154,61,47.98,7005.08,7902.55,897.47,13
22,23,83.84,37,135,31.05,4626.45,11318.4,6691.95,6
23,24,128.55,69,51,47.61,2808.99,6556.05,3747.06,3
24,25,120.47,49,80,44.62,3301.88,9637.6,6335.72,2
25,26,13.01,140,727,4.82,3933.12,9458.27,5525.15,3
26,27,90.88,59,116,33.66,4476.78,10542.1,6065.3,13
27,28,120.74,104,69,44.72,5634.72,8331.06,2696.34,7
28,29,100.01,29,88,37.04,2963.2,8800.88,5837.68,14
29,30,33.99,51,478,12.59,5917.3,16247.2,10329.9,11
30,31,113.21,98,68,41.93,4570.37,7698.28,3127.91,5
31,32,75.36,86,157,27.91,5721.55,11831.5,6109.97,5
32,33,46.58,102,386,17.25,7434.75,17979.9,10545.1,10
33,34,133.27,58,69,49.36,5034.72,9195.63,4160.91,8
34,35,51.25,72,291,18.98,6035.64,14913.8,8878.11,14
35,36,128.2,45,63,47.48,3940.84,8076.6,4135.76,9
36,37,124.04,28,59,45.94,2205.12,7318.36,5113.24,13
37,38,17.52,53,757,6.49,5055.71,13262.6,8206.93,12
38,39,87.29,57,121,32.33,4073.58,10562.1,6488.51,8
39,40,83.4,21,152,30.89,3737.69,12676.8,8939.11,8
40,41,118.85,26,63,44.02,3037.38,7487.55,4450.17,11
41,42,74.55,108,181,27.61,6792.06,13493.6,6701.49,11
42,43,74.2,60,177,27.48,4781.52,13133.4,8351.88,8
43,44,6.53,106,784,2.42,1998.92,5119.52,3120.6,10
44,45,83.56,22,166,30.95,4085.4,13871.0,9785.56,11
45,46,77.81,53,184,28.82,5158.78,14317.0,9158.26,9
46,47,55.81,150,317,20.67,8412.69,17691.8,9279.08,6
47,48,31.54,79,564,11.68,7183.2,17788.6,10605.4,6
48,49,90.72,25,119,33.6,3460.8,10795.7,7334.88,11
49,50,52.14,107,286,19.31,6642.64,14912.0,9987.99,4
50,51,38.21,145,427,14.15,7485.35,16315.7,8830.32,15
51,52,83.89,23,131,31.07,3200.21,10989.6,7789.38,8
52,53,29.67,167,565,10.99,7594.09,16763.6,10807.0,2
53,54,35.88,28,482,13.29,6007.08,17294.2,11287.1,2
54,55,17.55,26,641,6.5,4140.5,11249.5,7109.05,8
55,56,20.39,37,704,7.55,5315.2,14354.6,9039.36,15
56,57,26.86,62,579,9.95,6009.8,15551.9,9542.14,8
57,58,94.55,89,105,35.02,5042.88,9927.75,4884.87,6
58,59,95.74,70,99,35.46,5035.32,9478.26,4442.94,4
59,60,54.84,128,271,20.31,7372.53,14861.6,7489.11,5
60,61,3.92,28,895,1.45,1281.8,3508.4,2226.6,4
61,62,68.98,139,214,25.55,7639.45,14761.7,7122.27,1
62,63,70.55,116,202,26.13,6793.8,14251.1,7457.3,1
63,64,13.07,62,689,4.84,3412.2,9005.23,5593.03,3
64,65,89.8,22,123,33.26,3791.64,11045.4,7253.76,15
65,66,54.38,139,309,20.14,8378.24,16803.4,8425.18,5
66,67,127.63,72,62,47.27,5294.24,7913.06,2618.82,3
67,68,116.02,116,68,42.97,5972.83,7889.36,1916.53,11
68,69,71.55,33,178,26.5,4743.5,12735.9,7992.4,3
69,70,19.14,35,648,7.09,4530.51,12402.7,7872.21,11
70,71,101.44,47,101,37.57,3644.29,10245.4,6601.15,15
71,72,32.51,99,458,12.04,6068.16,14889.6,8821.42,11
72,73,37.8,44,468,14.0,6888.0,17690.4,10802.4,11
73,74,123.96,73,59,45.91,4131.9,7313.64,3181.74,9
74,75,57.62,112,297,21.34,8109.2,17113.1,9003.94,13
75,76,65.48,130,207,24.25,6523.25,13554.4,7031.11,10
76,77,90.18,70,98,33.4,4809.6,8837.64,4028.04,15
77,78,92.91,68,97,34.41,4714.17,9012.27,4298.1,4
78,79,39.37,39,421,14.58,6065.28,16574.8,10509.5,13
79,80,116.21,106,63,43.04,5250.88,7321.23,2070.35,4
80,81,96.04,105,103,35.57,5940.19,9892.12,3951.93,11
81,82,89.45,56,110,33.13,3611.17,9839.5,6228.33,4
82,83,46.76,128,365,17.32,7395.64,17067.4,9671.76,9
83,84,78.62,90,154,29.12,6144.32,12107.5,5963.16,4
84,85,9.34,85,825,3.46,3062.1,7705.5,4643.4,14
85,86,115.24,112,78,42.68,5249.64,8988.72,3739.08,14
86,87,107.0,40,91,39.63,4280.04,9737.0,5456.96,6
87,88,18.36,74,667,6.8,4896.0,12246.1,7350.12,3
88,89,46.04,61,373,17.05,6939.35,17172.9,10233.6,2
89,90,94.31,68,110,34.93,4296.39,10374.1,6077.71,2
90,91,106.52,117,68,39.45,4970.7,7243.36,2272.66,4
91,92,15.09,70,696,5.59,4035.98,10502.6,6466.66,1
92,93,73.49,90,165,27.22,6233.38,12125.8,5892.47,11
93,94,101.93,46,97,37.75,3020.0,9887.21,6867.21,6
94,95,122.12,130,69,45.23,6377.43,8426.28,2048.85,6
95,96,135.49,52,52,50.18,2408.64,7045.48,4636.84,2
96,97,135.19,100,48,50.07,4205.88,6489.12,2283.24,8
97,98,40.61,98,457,15.04,7489.92,18558.8,11068.8,13
98,99,108.35,73,71,40.13,3611.7,7692.85,4081.15,2
99,100,4.7,33,813,1.74,1404.18,3821.1,2416.92,7
100,101,66.72,140,206,24.71,6992.93,13744.3,6751.39,13
101,102,13.82,77,739,5.12,3845.12,10213.0,6367.86,6
102,103,7.94,47,710,2.94,2152.08,5637.4,3485.32,6
103,104,118.99,83,52,44.07,3657.81,6187.48,2529.67,14
104,105,104.17,42,97,38.58,2816.34,10104.5,7288.15,14
105,106,52.33,72,313,19.38,6724.86,16379.3,9654.43,3
106,107,63.56,104,255,23.54,7556.34,16207.8,8651.46,3
107,108,43.9,80,374,16.26,6747.9,16418.6,9670.7,15
108,109,88.78,69,103,32.88,4734.72,9144.34,4409.62,15
109,110,24.84,66,551,9.2,5234.8,13686.8,8452.04,2
110,111,70.2,46,245,26.0,6318.0,17199.0,10881.0,13
111,112,79.7,69,138,29.52,4162.32,10998.6,6836.28,9
112,113,108.05,56,71,40.02,3841.92,7671.55,3829.63,7
113,114,87.05,114,161,32.24,7673.12,14015.1,6341.93,2
114,115,19.82,33,667,7.34,4925.14,13219.9,8294.8,2
115,116,52.06,152,319,19.28,8676.0,16607.1,7931.14,2
116,117,88.99,75,118,32.96,5306.56,10500.8,5194.26,9
117,118,134.87,100,54,49.95,5344.65,7282.98,1938.33,7
118,119,52.33,25,334,19.38,6356.64,17478.2,11121.6,9
119,120,12.45,54,736,4.61,3406.79,9163.2,5756.41,13
120,121,133.97,135,49,49.62,6152.88,6564.53,411.65,1
121,122,59.64,72,271,22.09,6538.64,16162.4,9623.8,14
122,123,58.89,94,288,21.81,7175.49,16960.3,9784.83,14
123,124,9.02,75,821,3.34,2802.26,7405.42,4603.16,13
124,125,109.3,83,70,40.48,3643.2,7651.0,4007.8,3
125,126,55.35,42,312,20.5,6129.5,17269.2,11139.7,1
126,127,137.13,87,43,50.79,4825.05,5896.59,1071.54,4
127,128,26.46,102,567,9.8,6095.6,15002.8,8907.22,3
128,129,129.9,117,68,48.11,6109.97,8833.2,2723.23,13
129,130,83.86,30,195,31.06,4845.36,16352.7,11507.3,4
130,131,13.01,102,709,4.82,3595.72,9224.09,5628.37,6
131,132,18.28,76,693,6.77,5043.65,12668.0,7624.39,15
132,133,27.22,25,624,10.08,6249.6,16985.3,10735.7,3
133,134,91.96,51,137,34.06,5040.88,12598.5,7557.64,15
134,135,41.18,118,372,15.25,6816.75,15319.0,8502.21,14
135,136,64.37,97,242,23.84,7080.48,15577.5,8497.06,5
136,137,107.62,123,79,39.86,7055.22,8501.98,1446.76,15
137,138,65.04,52,256,24.09,6287.49,16650.2,10362.8,6
138,139,59.7,61,290,22.11,6522.45,17313.0,10790.5,7
139,140,67.77,63,243,25.1,6500.9,16468.1,9967.21,13
140,141,74.28,80,181,27.51,6437.34,13444.7,7007.34,14
141,142,4.16,68,905,1.54,1406.02,3764.8,2358.78,9
142,143,82.46,45,146,30.54,4733.7,12039.2,7305.46,5
143,144,90.8,48,125,33.63,3867.45,11350.0,7482.55,2
144,145,134.22,101,54,49.71,6512.01,7247.88,735.87,5
145,146,9.67,114,770,3.58,2996.46,7445.9,4449.44,12
146,147,86.94,49,122,32.2,4314.8,10606.7,6291.88,14
147,148,128.57,93,51,47.62,4809.62,6557.07,1747.45,1
148,149,110.83,57,70,41.05,3776.6,7758.1,3981.5,9
149,150,135.95,69,50,50.35,3876.95,6797.5,2920.55,12
150,151,45.14,35,349,16.72,5266.8,15753.9,10487.1,5
151,152,78.87,28,149,29.21,3797.3,11751.6,7954.33,13
152,153,46.44,90,373,17.2,7241.2,17322.1,10080.9,7
