,idVenda,Quantidade,vendaValor,Departamento,prodLucro,Produto_idProduto,Cliente_idCliente
0,1,3,79.23,13,0.0,210,22
1,2,3,116.28,7,0.0,90,22
2,3,3,206.79,10,0.0,227,22
3,4,3,100.44,6,0.0,98,45
4,5,2,22.5,6,0.0,156,45
5,6,3,151.17,8,0.0,244,45
6,7,1,103.09,11,0.0,69,33
7,8,1,51.22,12,0.0,150,33
8,9,1,55.63,3,0.0,183,33
9,10,4,254.0,3,0.0,95,7
10,11,1,125.4,13,0.0,78,7
11,12,1,21.13,6,0.0,197,7
12,13,3,116.28,8,0.0,176,25
13,14,1,81.7,1,0.0,162,25
14,15,3,33.75,6,22.5,156,25
15,16,2,88.32,2,0.0,237,29
16,17,1,57.04,1,0.0,226,29
17,18,2,90.28,9,0.0,242,29
18,19,3,97.92,2,0.0,48,37
19,20,1,152.15,6,0.0,114,37
20,21,2,90.28,9,90.28,242,37
21,22,1,96.79,13,0.0,154,11
22,23,1,123.99,8,0.0,28,11
23,24,3,166.89,3,55.63,183,11
24,25,2,78.88,6,0.0,25,10
25,26,1,32.19,6,0.0,213,10
26,27,4,246.56,14,0.0,104,10
27,28,1,94.7,9,0.0,169,14
28,29,3,84.48,6,0.0,72,14
29,30,2,105.86,10,0.0,4,14
30,31,1,22.0,6,0.0,122,17
31,32,4,50.76,11,0.0,102,17
32,33,1,130.42,13,0.0,109,17
33,34,1,55.48,10,0.0,77,27
34,35,2,172.82,13,0.0,238,27
35,36,1,43.89,14,0.0,194,27
36,37,3,157.65,3,0.0,130,43
37,38,1,51.38,9,0.0,161,43
38,39,4,204.88,12,51.22,150,43
39,40,1,31.27,11,0.0,92,7
40,41,2,240.54,13,0.0,79,7
41,42,2,66.96,6,100.44,98,7
42,43,1,87.51,5,0.0,120,18
43,44,1,53.66,1,0.0,44,18
44,45,3,177.15,6,0.0,189,18
45,46,1,30.48,2,0.0,139,20
46,47,2,106.32,5,0.0,67,20
47,48,1,70.64,9,0.0,195,20
48,49,1,150.71,7,0.0,97,22
49,50,2,71.82,12,0.0,124,22
50,51,1,16.68,15,0.0,58,22
51,52,1,90.21,4,0.0,64,38
52,53,3,97.92,2,97.92,48,38
53,54,2,64.38,6,32.19,213,38
54,55,1,43.17,11,0.0,202,41
55,56,1,165.49,9,0.0,71,41
56,57,1,22.0,15,0.0,140,41
57,58,1,171.42,11,0.0,188,44
58,59,1,82.5,1,0.0,3,44
59,60,3,131.67,14,43.89,194,44
60,61,1,169.25,6,0.0,170,46
61,62,1,28.54,10,0.0,68,46
62,63,2,62.54,11,31.27,92,46
63,64,2,102.76,9,51.38,161,11
64,65,1,69.84,15,0.0,86,11
65,66,1,99.79,9,0.0,89,11
66,67,1,69.84,15,69.84,86,19
67,68,3,79.23,13,79.23,210,19
68,69,4,74.64,7,0.0,164,19
69,70,1,22.08,6,0.0,8,5
70,71,1,43.17,11,43.17,202,5
71,72,1,81.81,5,0.0,36,5
72,73,2,44.16,6,22.08,8,14
73,74,1,28.54,10,28.54,68,14
74,75,3,135.42,9,180.56,242,14
75,76,4,155.04,8,116.28,176,17
76,77,1,131.52,11,0.0,5,17
77,78,2,34.96,12,0.0,6,17
78,79,1,83.37,7,0.0,111,36
79,80,1,125.48,4,0.0,143,36
80,81,2,75.32,5,0.0,222,36
81,82,4,69.92,12,34.96,6,43
82,83,2,189.24,2,0.0,70,43
83,84,1,12.58,15,0.0,185,43
84,85,1,18.66,7,74.64,164,27
85,86,1,139.5,4,0.0,247,27
86,87,3,241.11,10,0.0,206,27
87,88,1,51.38,9,154.14,161,47
88,89,1,80.29,8,0.0,73,47
89,90,1,96.79,13,96.79,154,47
90,91,1,153.22,8,0.0,136,9
91,92,1,17.44,1,0.0,115,9
92,93,3,33.75,6,56.25,156,9
93,94,3,116.28,7,116.28,90,11
94,95,1,119.93,11,0.0,166,11
95,96,2,117.58,2,0.0,85,11
96,97,1,22.0,6,22.0,122,15
97,98,2,218.72,7,0.0,221,15
98,99,3,85.62,10,57.08,68,15
99,100,2,56.32,6,84.48,72,33
100,101,1,38.76,8,271.32,176,33
101,102,2,44.0,15,22.0,140,33
102,103,3,178.41,11,0.0,26,7
103,104,1,165.72,8,0.0,112,7
104,105,1,49.25,15,0.0,211,7
105,106,1,123.99,8,123.99,28,22
106,107,2,15.96,11,0.0,34,22
107,108,1,42.86,9,0.0,168,22
108,109,4,45.0,6,90.0,156,34
109,110,3,47.55,14,0.0,30,34
110,111,1,56.2,12,0.0,144,34
111,112,1,169.14,15,0.0,207,27
112,113,4,75.68,13,0.0,204,27
113,114,1,27.51,4,0.0,190,27
114,115,1,169.86,7,0.0,74,32
115,116,2,66.96,6,167.4,98,32
116,117,4,88.32,6,66.24,8,32
117,118,1,22.0,15,66.0,140,35
118,119,2,10.48,8,0.0,219,35
119,120,2,122.82,2,0.0,179,35
120,121,2,42.26,6,21.13,197,36
121,122,3,37.74,15,12.58,185,36
122,123,1,120.27,13,240.54,79,36
123,124,2,90.28,9,315.98,242,6
124,125,3,237.93,2,0.0,35,6
125,126,1,58.79,2,117.58,85,6
126,127,1,31.27,11,93.81,92,17
127,128,1,106.82,10,0.0,17,17
128,129,1,69.43,13,0.0,243,17
129,130,4,120.08,1,0.0,135,37
130,131,1,61.41,2,122.82,179,37
131,132,2,103.66,10,0.0,57,37
132,133,1,44.16,2,88.32,237,49
133,134,1,134.14,14,0.0,198,49
134,135,1,47.27,10,0.0,46,49
135,136,2,205.58,15,0.0,205,5
136,137,1,28.54,10,142.7,68,5
137,138,1,142.84,15,0.0,235,5
138,139,1,84.28,7,0.0,100,11
139,140,1,82.19,2,0.0,9,11
140,141,2,98.5,15,49.25,211,11
141,142,1,42.86,9,42.86,168,15
142,143,2,71.82,12,71.82,124,15
143,144,1,101.69,2,0.0,66,15
144,145,1,46.89,8,0.0,20,25
145,146,1,51.83,10,103.66,57,25
146,147,1,38.76,7,232.56,90,25
147,148,2,44.0,15,88.0,140,27
148,149,3,50.04,15,16.68,58,27
149,150,2,85.58,8,0.0,7,27
150,151,4,120.08,1,120.08,135,43
151,152,1,49.78,4,0.0,56,43
152,153,3,246.57,2,82.19,9,43
153,154,1,69.84,15,139.68,86,29
154,155,1,152.15,6,152.15,114,29
155,156,1,53.16,5,106.32,67,29
156,157,3,66.24,6,154.56,8,32
157,158,2,33.36,15,66.72,58,32
158,159,1,94.58,11,0.0,84,32
159,160,1,81.24,14,0.0,218,17
160,161,4,125.08,11,125.08,92,17
161,162,1,114.11,9,0.0,99,17
162,163,1,87.51,5,87.51,120,22
163,164,3,211.92,9,70.64,195,22
164,165,1,130.45,15,0.0,117,22
165,166,2,110.88,11,0.0,239,20
166,167,1,33.48,6,234.36,98,20
167,168,1,44.16,2,132.48,237,20
168,169,2,34.88,1,17.44,115,42
169,170,1,61.41,2,184.23,179,42
170,171,1,130.42,13,130.42,109,42
171,172,2,93.78,8,46.89,20,26
172,173,2,118.1,6,177.15,189,26
173,174,1,33.48,6,267.84,98,26
174,175,1,131.44,9,0.0,127,37
175,176,3,47.55,14,47.55,30,37
176,177,1,49.25,15,147.75,211,37
177,178,2,82.62,14,0.0,147,38
178,179,1,23.03,6,0.0,180,38
179,180,2,141.28,9,282.56,195,38
180,181,1,119.78,6,0.0,37,27
181,182,1,163.78,14,0.0,19,27
182,183,4,150.64,5,75.32,222,27
183,184,1,21.74,14,0.0,199,28
184,185,4,205.52,9,205.52,161,28
185,186,1,42.79,8,85.58,7,28
186,187,1,71.63,10,0.0,126,35
187,188,3,82.53,4,27.51,190,35
188,189,3,151.17,8,151.17,244,35
189,190,1,16.68,15,100.08,58,45
190,191,3,128.58,9,85.72,168,45
191,192,1,41.31,14,82.62,147,45
192,193,1,31.27,11,250.16,92,41
193,194,1,51.11,8,0.0,10,41
194,195,1,76.57,7,0.0,158,41
195,196,1,49.78,4,49.78,56,14
196,197,1,32.19,6,96.57,213,14
197,198,4,306.28,7,76.57,158,14
198,199,1,18.92,13,75.68,204,18
199,200,2,88.32,2,176.64,237,18
200,201,1,120.27,13,360.81,79,18
201,202,1,26.41,13,158.46,210,43
202,203,1,190.11,13,0.0,18,43
203,204,2,34.88,1,52.32,115,43
204,205,2,268.28,14,134.14,198,44
205,206,4,25.68,12,0.0,165,44
206,207,1,53.16,5,159.48,67,44
207,208,2,133.46,6,0.0,50,7
208,209,2,94.54,10,47.27,46,7
209,210,3,153.66,12,256.1,150,7
210,211,1,49.78,4,99.56,56,31
211,212,3,110.34,9,0.0,172,31
212,213,4,165.24,14,123.93,147,31
213,214,1,55.44,11,110.88,239,10
214,215,1,138.28,15,0.0,47,10
215,216,1,128.67,11,0.0,121,10
216,217,2,138.86,13,69.43,243,7
217,218,1,178.07,3,0.0,241,7
218,219,1,82.19,2,328.76,9,7
219,220,1,183.08,10,0.0,234,11
220,221,3,27.69,3,0.0,187,11
221,222,3,211.92,9,423.84,195,11
222,223,2,176.24,4,0.0,59,19
223,224,1,52.93,10,105.86,4,19
224,225,3,116.28,7,271.32,90,19
225,226,4,38.0,3,0.0,181,14
226,227,2,37.84,13,94.6,204,14
227,228,2,112.4,12,56.2,144,14
228,229,1,18.92,13,132.44,204,15
229,230,1,30.02,1,240.16,135,15
230,231,2,56.32,6,140.8,72,15
231,232,1,114.11,9,114.11,99,22
232,233,1,174.23,11,0.0,246,22
233,234,2,143.26,10,71.63,126,22
234,235,1,57.04,1,57.04,226,27
235,236,1,75.39,6,0.0,214,27
236,237,2,238.04,11,0.0,248,27
237,238,1,80.52,8,0.0,123,38
238,239,4,75.68,13,151.36,204,38
239,240,2,10.48,8,10.48,219,38
240,241,1,21.13,6,63.39,197,45
241,242,2,62.54,11,281.43,92,45
242,243,1,43.89,14,175.56,194,45
243,244,1,27.51,4,110.04,190,37
244,245,4,31.92,11,15.96,34,37
245,246,1,35.87,12,0.0,174,37
246,247,1,62.81,10,0.0,200,1
247,248,3,15.72,8,20.96,219,1
248,249,1,125.4,13,125.4,78,1
249,250,1,91.31,9,0.0,146,8
250,251,1,71.63,10,214.89,126,8
251,252,1,104.08,9,0.0,42,8
252,253,2,85.72,9,214.3,168,22
253,254,1,100.47,12,0.0,225,22
254,255,1,190.11,13,190.11,18,22
255,256,1,75.39,6,0.0,175,25
256,257,2,110.96,10,55.48,77,25
257,258,1,94.62,2,189.24,70,25
258,259,1,58.79,2,-782.77,85,27
259,260,2,25.38,11,50.76,102,27
260,261,3,118.32,6,78.88,25,27
261,262,2,18.46,3,27.69,187,29
262,263,1,119.02,11,238.04,248,29
263,264,3,107.61,12,35.87,174,29
264,265,1,47.27,10,141.81,46,10
265,266,1,190.53,9,0.0,132,10
266,267,3,50.04,15,116.76,58,10
267,268,2,88.32,2,264.96,237,17
268,269,2,105.86,10,158.79,4,17
269,270,2,110.96,10,166.44,77,17
270,271,4,75.68,13,227.04,204,18
271,272,2,102.22,8,51.11,10,18
272,273,1,151.16,4,0.0,82,18
273,274,1,174.23,11,174.23,246,19
274,275,1,12.69,11,76.14,102,19
275,276,1,62.81,10,62.81,200,19
276,277,1,17.48,12,104.88,6,20
277,278,2,60.04,1,270.18,135,20
278,279,3,56.76,13,302.72,204,20
279,280,3,28.5,3,38.0,181,39
