,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,4792,117473.0,204501.0,87027.8,1
1,2,7743,139778.0,312918.0,173139.0,1
2,3,4352,134737.0,206793.0,72055.7,1
3,4,4715,159558.0,228722.0,69164.7,1
4,5,5477,130114.0,238859.0,108745.0,1
5,6,5782,172430.0,276346.0,103916.0,1
6,7,9493,275749.0,456241.0,180491.0,1
7,8,4815,158680.0,224116.0,65436.6,1
8,9,4495,94242.2,193704.0,99461.2,1
9,10,6591,194585.0,305881.0,111296.0,1
10,11,4207,135269.0,199894.0,64624.5,1
11,12,8263,139349.0,328684.0,189334.0,1
12,13,5804,119534.0,250907.0,131373.0,1
13,14,3635,108335.0,154773.0,46437.3,1
14,15,7595,160672.0,324795.0,164123.0,1
