,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,49.52,44,271,35.03,8722.47,13419.9,4697.45,7
1,2,49.68,25,297,37.48,10981.6,14755.0,3773.32,14
2,3,50.08,87,300,45.67,15938.8,15024.0,-914.829,11
3,4,34.9,57,450,4.06,1932.56,15705.0,13772.4,12
4,5,49.26,28,292,31.68,8553.6,14383.9,5830.32,4
5,6,48.96,156,384,28.56,14308.6,18800.6,4492.08,5
6,7,49.46,39,320,34.21,11426.1,15827.2,4401.06,10
7,8,49.36,30,336,32.86,11172.4,16585.0,5412.56,9
8,9,33.32,39,498,3.56,1708.8,16593.4,14884.6,15
9,10,49.9,47,273,41.61,12316.6,13622.7,1306.14,5
10,11,49.42,97,261,33.59,10849.6,12898.6,2049.05,3
11,12,49.43,39,310,33.83,10690.3,15323.3,4633.02,15
12,13,49.07,41,310,29.69,8728.86,15211.7,6482.84,7
13,14,38.63,46,360,5.69,2076.85,13906.8,11830.0,11
14,15,49.54,90,285,35.36,11739.5,14118.9,2379.38,12
15,16,48.63,94,324,25.84,9509.12,15756.1,6247.0,5
16,17,44.43,37,350,11.18,3801.2,15550.5,11749.3,12
17,18,45.1,130,347,12.38,5385.3,15649.7,10264.4,10
18,19,50.1,77,285,46.2,15199.8,14278.5,-921.301,7
19,20,49.23,107,309,31.36,11979.5,15212.1,3232.55,2
20,21,23.45,60,622,1.66,1077.34,14585.9,13508.6,2
21,22,48.96,100,347,28.58,12203.7,16989.1,4785.46,5
22,23,49.5,39,278,34.76,9315.68,13761.0,4445.32,13
23,24,46.91,93,328,17.03,6147.83,15386.5,9238.65,12
24,25,49.15,109,322,30.49,11799.6,15826.3,4026.67,5
25,26,50.2,44,357,49.03,18239.2,17921.4,-317.76,14
26,27,50.22,85,363,49.78,19165.3,18229.9,-935.438,2
27,28,48.81,117,324,27.22,11350.7,15814.4,4463.7,5
28,29,50.14,45,274,47.27,13472.0,13738.4,266.409,13
29,30,50.17,116,293,48.11,16501.7,14699.8,-1801.92,5
30,31,45.37,43,329,12.92,4457.4,14926.7,10779.4,5
31,32,49.77,89,299,39.03,12723.8,14881.2,2157.45,1
32,33,44.32,82,391,11.01,4514.1,17329.1,12815.0,3
33,34,49.98,129,341,43.27,18476.3,17043.2,-1433.11,7
34,35,49.75,108,298,38.72,14481.3,14825.5,344.22,3
35,36,35.04,63,478,4.11,2071.44,16749.1,14677.7,2
36,37,48.31,25,325,23.56,7727.68,15700.8,7973.07,1
37,38,49.33,108,288,32.5,11440.0,14207.0,2767.04,10
38,39,50.24,41,245,50.37,11988.1,12308.8,320.741,11
39,40,48.94,44,332,28.4,8747.2,16248.1,7500.88,5
40,41,47.1,125,323,17.74,7007.3,15213.3,8206.0,15
41,42,49.99,87,339,43.57,17340.9,16946.6,-394.248,1
42,43,49.62,37,354,36.54,11948.6,17565.5,5616.9,9
43,44,41.94,125,418,8.09,3923.65,17530.9,13607.3,14
44,45,49.83,53,299,40.05,11894.8,14899.2,3004.32,10
45,46,50.0,44,327,43.63,14965.1,16350.0,1384.91,12
46,47,49.82,29,285,40.02,9804.9,14198.7,4393.8,12
47,48,50.06,105,280,45.25,15520.8,14016.8,-1503.95,6
48,49,49.11,32,296,30.05,8113.5,14536.6,6423.06,11
49,50,50.25,51,322,50.63,16151.0,16180.5,29.5293,6
50,51,50.15,91,273,47.42,14320.8,13691.0,-629.89,4
51,52,50.17,34,313,48.27,13660.4,15703.2,2042.8,2
52,53,49.83,72,314,40.15,13851.8,15646.6,1794.87,4
53,54,21.16,52,701,1.39,978.56,14833.2,13854.6,15
54,55,49.2,88,310,31.02,10981.1,15252.0,4270.92,15
55,56,49.87,63,315,40.98,13974.2,15709.0,1734.87,6
56,57,40.25,29,376,6.7,2465.6,15134.0,12668.4,3
57,58,46.84,63,397,16.81,7093.82,18595.5,11501.7,8
58,59,39.34,46,430,6.1,2574.2,16916.2,14342.0,12
59,60,50.2,28,359,49.04,16526.5,18021.8,1495.32,10
60,61,45.35,58,328,12.87,4646.07,14874.8,10228.7,6
61,62,48.13,54,348,22.51,7833.48,16749.2,8915.76,7
62,63,48.21,42,322,22.95,7321.05,15523.6,8202.57,15
63,64,41.05,50,416,7.31,3179.85,17076.8,13896.9,2
64,65,47.84,48,283,20.94,6093.54,13538.7,7445.18,3
65,66,47.61,57,306,19.8,5880.6,14568.7,8688.06,14
66,67,49.54,36,260,35.32,8794.68,12880.4,4085.72,2
67,68,41.32,23,397,7.53,2665.62,16404.0,13738.4,15
68,69,20.03,62,741,1.27,967.74,14842.2,13874.5,14
69,70,48.32,33,332,23.65,7047.7,16042.2,8994.54,13
70,71,48.05,115,318,22.03,8371.4,15279.9,6908.5,6
71,72,43.78,38,355,10.21,3410.14,15541.9,12131.8,13
72,73,30.16,41,547,2.77,1534.58,16497.5,14962.9,1
73,74,48.63,95,294,25.83,8859.69,14297.2,5437.53,15
74,75,49.76,46,254,38.78,10819.6,12639.0,1819.42,7
75,76,45.26,46,311,12.7,3873.5,14075.9,10202.4,1
76,77,47.47,41,340,19.18,6137.6,16139.8,10002.2,11
77,78,29.48,38,552,2.63,1441.24,16273.0,14831.7,15
78,79,50.05,103,355,44.84,17891.2,17767.8,-123.41,8
79,80,45.73,60,300,13.7,4164.8,13719.0,9554.2,1
80,81,22.8,34,696,1.58,1087.04,15868.8,14781.8,1
81,82,50.19,42,360,48.67,18251.2,18068.4,-182.848,10
82,83,43.25,68,384,9.51,3813.51,16608.0,12794.5,8
83,84,49.21,107,332,31.16,13056.0,16337.7,3281.68,15
84,85,50.22,91,322,49.6,18054.4,16170.8,-1883.56,4
85,86,39.82,73,427,6.41,3051.16,17003.1,13952.0,6
