,idVenda,Quantidade,vendaValor,Departamento,prodLucro,Produto_idProduto,Cliente_idCliente
0,1,1,48.37,15,0.0,208,1
1,2,2,100.34,5,0.0,30,1
2,3,1,41.09,5,0.0,141,1
3,4,3,148.89,7,0.0,159,6
4,5,2,95.44,8,0.0,147,6
5,6,2,77.26,11,0.0,14,6
6,7,3,139.38,13,0.0,200,8
7,8,2,100.3,4,0.0,51,8
8,9,4,84.64,15,0.0,54,8
9,10,1,22.89,5,0.0,197,10
10,11,2,97.62,5,0.0,28,10
11,12,2,62.02,12,0.0,244,10
12,13,1,46.19,7,0.0,142,11
13,14,3,149.49,4,0.0,53,11
14,15,2,81.24,15,0.0,117,11
15,16,4,124.04,12,62.02,244,14
16,17,3,146.76,13,0.0,166,14
17,18,4,84.64,15,84.64,54,14
18,19,1,40.39,2,0.0,198,15
19,20,2,98.3,5,0.0,25,15
20,21,4,190.24,7,0.0,202,15
21,22,3,140.73,12,0.0,24,19
22,23,3,124.14,5,0.0,203,19
23,24,3,60.09,14,0.0,69,19
24,25,3,150.6,10,0.0,60,21
25,26,1,50.18,11,0.0,120,21
26,27,1,49.93,13,0.0,156,21
27,28,4,198.52,15,0.0,133,26
28,29,2,99.68,10,0.0,99,26
29,30,3,146.88,5,0.0,22,26
30,31,1,40.21,13,0.0,229,27
31,32,1,44.32,3,0.0,33,27
32,33,4,196.44,5,0.0,192,27
33,34,3,119.46,6,0.0,86,28
34,35,1,50.16,3,0.0,95,28
35,36,1,44.43,12,0.0,17,28
36,37,1,50.0,12,0.0,46,31
37,38,3,123.27,5,41.09,141,31
38,39,3,147.33,5,196.44,192,31
39,40,3,150.54,8,0.0,242,32
40,41,3,68.4,1,0.0,81,32
41,42,3,150.27,14,0.0,169,32
42,43,1,49.63,7,148.89,159,35
43,44,4,191.28,6,0.0,239,35
44,45,3,143.73,7,0.0,88,35
45,46,3,121.86,15,81.24,117,37
46,47,2,100.36,8,150.54,242,37
47,48,3,149.01,9,0.0,107,37
48,49,2,100.1,7,0.0,199,38
49,50,3,146.58,12,0.0,149,38
50,51,3,141.96,2,0.0,153,38
51,52,2,98.52,4,0.0,5,44
52,53,4,200.2,1,0.0,201,44
53,54,1,49.31,1,0.0,155,44
54,55,1,45.97,6,0.0,212,45
55,56,1,29.48,15,0.0,78,45
56,57,2,74.26,12,0.0,210,45
57,58,1,24.79,12,0.0,183,9
58,59,4,197.64,4,0.0,221,9
59,60,1,50.0,8,0.0,97,9
60,61,1,47.91,7,143.73,88,20
61,62,2,99.74,12,0.0,164,20
62,63,1,46.04,7,0.0,150,20
63,64,3,144.63,15,0.0,63,29
64,65,2,96.74,15,48.37,208,29
65,66,1,49.54,2,0.0,67,29
66,67,3,146.67,2,0.0,94,40
67,68,3,147.63,15,0.0,84,40
68,69,2,98.34,7,0.0,145,40
69,70,2,98.92,6,0.0,132,43
70,71,2,66.64,15,0.0,9,43
71,72,3,150.15,7,100.1,199,43
72,73,2,98.82,7,0.0,176,47
73,74,1,44.61,2,0.0,135,47
74,75,3,150.6,10,150.6,60,47
75,76,2,95.18,1,0.0,247,48
76,77,1,40.03,13,0.0,206,48
77,78,1,49.88,14,0.0,213,48
78,79,3,115.86,12,0.0,235,18
79,80,3,150.66,2,0.0,27,18
80,81,1,30.39,12,0.0,92,18
81,82,3,141.3,15,0.0,41,22
82,83,1,48.21,15,144.63,63,22
83,84,1,48.83,6,0.0,187,22
84,85,1,50.24,11,0.0,39,36
85,86,1,23.45,2,0.0,21,36
86,87,2,94.16,9,0.0,102,36
87,88,1,49.77,11,0.0,100,49
88,89,4,198.16,2,49.54,67,49
89,90,1,47.61,14,0.0,66,49
90,91,1,50.1,7,0.0,19,5
91,92,2,99.26,15,198.52,133,5
92,93,4,197.04,4,98.52,5,5
93,94,1,49.01,2,0.0,98,12
94,95,1,46.04,9,0.0,168,12
95,96,2,88.64,3,44.32,33,12
96,97,2,98.3,10,0.0,124,2
97,98,1,49.55,15,0.0,236,2
98,99,2,99.96,1,0.0,131,2
99,100,1,39.82,6,119.46,86,39
100,101,1,48.73,5,0.0,173,39
101,102,3,149.97,1,0.0,42,39
102,103,1,48.05,6,0.0,71,41
103,104,1,39.82,6,159.28,86,41
104,105,2,86.5,8,0.0,83,41
105,106,1,49.21,15,-911.81,84,42
106,107,1,47.78,11,0.0,91,42
107,108,1,47.4,3,0.0,174,42
108,109,1,46.79,6,0.0,122,50
109,110,4,199.32,4,149.49,53,50
110,111,1,48.05,6,48.05,71,50
111,112,1,46.79,6,46.79,122,7
112,113,1,45.26,1,0.0,76,7
113,114,2,100.1,8,0.0,79,7
114,115,2,96.3,7,0.0,220,30
115,116,1,49.43,4,0.0,182,30
116,117,2,95.64,6,191.28,239,30
117,118,1,47.11,6,0.0,180,2
118,119,2,66.78,9,0.0,246,2
119,120,1,29.18,10,0.0,151,2
120,121,3,120.63,13,40.21,229,5
121,122,1,44.61,2,44.61,135,5
122,123,3,148.89,7,198.52,159,5
123,124,1,42.98,15,0.0,118,6
124,125,2,99.54,3,0.0,189,6
125,126,4,177.12,4,0.0,136,6
126,127,2,97.22,7,0.0,222,13
127,128,1,50.17,5,100.34,30,13
128,129,1,49.81,7,0.0,89,13
129,130,4,199.6,9,0.0,238,14
130,131,1,45.1,10,0.0,18,14
131,132,1,49.35,2,0.0,128,14
132,133,1,48.04,15,0.0,249,15
133,134,4,197.84,6,98.92,132,15
134,135,2,77.24,12,115.86,235,15
135,136,1,49.57,6,0.0,116,18
136,137,1,41.32,15,0.0,68,18
137,138,3,139.65,13,0.0,123,18
138,139,1,47.4,3,47.4,174,19
139,140,1,28.34,9,0.0,154,19
140,141,2,97.26,15,0.0,74,19
141,142,1,49.26,4,295.56,5,21
142,143,2,99.54,11,49.77,100,21
143,144,4,199.92,7,0.0,34,21
144,145,4,195.32,4,0.0,113,26
145,146,3,143.16,8,95.44,147,26
146,147,1,48.96,5,0.0,6,26
147,148,4,195.76,5,0.0,40,28
148,149,1,50.0,3,0.0,144,28
149,150,2,46.9,2,23.45,21,28
150,151,2,66.64,15,66.64,9,37
151,152,2,100.48,11,50.24,39,37
152,153,4,198.4,12,0.0,119,37
153,154,3,142.2,3,94.8,174,39
154,155,1,49.15,5,98.3,25,39
155,156,2,99.74,12,99.74,164,39
156,157,3,146.76,7,0.0,171,40
157,158,1,50.17,2,0.0,52,40
158,159,3,139.11,11,0.0,134,40
159,160,3,147.63,15,-862.6,84,44
160,161,4,199.52,11,0.0,103,44
161,162,1,44.28,4,177.12,136,44
162,163,1,38.74,10,0.0,170,47
163,164,4,191.12,11,47.78,91,47
164,165,2,100.28,13,0.0,29,47
165,166,1,49.6,12,198.4,119,49
166,167,4,175.12,13,0.0,72,49
167,168,1,40.21,13,160.84,229,49
168,169,1,47.45,7,0.0,178,50
169,170,3,115.89,11,77.26,14,50
170,171,1,22.8,1,68.4,81,50
171,172,3,146.43,5,97.62,28,1
172,173,1,47.91,7,191.64,88,1
173,174,1,50.2,14,0.0,26,1
174,175,2,74.26,12,74.26,210,8
175,176,3,137.19,1,0.0,80,8
176,177,4,177.72,12,44.43,17,8
177,178,4,83.16,13,0.0,230,11
178,179,1,49.41,4,197.64,221,11
179,180,1,47.4,3,237.0,174,11
180,181,4,200.36,14,150.27,169,29
181,182,1,45.26,1,45.26,76,29
182,183,2,98.4,15,0.0,55,29
183,184,2,96.46,10,0.0,139,31
184,185,1,39.22,13,0.0,126,31
185,186,4,100.6,12,0.0,234,31
186,187,2,96.08,15,48.04,249,32
187,188,3,149.28,8,0.0,104,32
188,189,3,120.63,13,201.05,229,32
189,190,1,33.39,9,66.78,246,35
190,191,2,98.22,5,343.77,192,35
191,192,2,94.38,6,0.0,110,35
192,193,3,142.98,4,0.0,194,38
193,194,3,144.45,7,96.3,220,38
194,195,3,70.35,2,70.35,21,38
195,196,1,48.23,10,96.46,139,46
196,197,1,23.45,2,140.7,21,46
197,198,1,41.38,5,124.14,203,46
198,199,1,49.98,6,0.0,143,9
199,200,1,46.59,12,0.0,241,9
200,201,1,46.19,7,46.19,142,9
201,202,4,116.72,10,29.18,151,27
202,203,1,50.05,8,100.1,79,27
203,204,1,47.72,8,238.6,147,27
204,205,1,46.37,11,139.11,134,35
205,206,1,38.17,12,0.0,233,35
206,207,1,39.12,7,0.0,232,35
207,208,3,60.09,14,60.09,69,43
208,209,2,60.78,12,30.39,92,43
209,210,4,69.56,2,0.0,250,43
210,211,2,98.92,15,0.0,231,12
211,212,2,96.92,1,0.0,209,12
212,213,1,48.79,2,0.0,127,12
213,214,1,44.32,3,132.96,33,30
214,215,1,46.9,8,0.0,106,30
215,216,1,38.62,12,193.1,235,30
216,217,1,47.78,11,238.9,91,22
217,218,4,190.04,4,0.0,190,22
218,219,1,47.82,6,286.92,239,22
219,220,1,48.23,10,144.69,139,5
220,221,3,132.84,4,221.4,136,5
221,222,3,148.86,9,0.0,43,5
222,223,1,49.46,10,0.0,7,6
223,224,4,200.72,11,50.18,120,6
224,225,2,84.5,3,0.0,184,6
225,226,3,121.86,15,203.1,117,8
226,227,1,49.01,2,49.01,98,8
227,228,4,159.72,2,0.0,90,8
228,229,1,31.01,12,186.06,244,10
229,230,1,47.19,13,0.0,185,10
230,231,2,94.94,11,0.0,77,10
231,232,2,99.08,2,247.7,67,12
232,233,2,87.56,13,175.12,72,12
233,234,1,41.38,5,165.52,203,12
234,235,1,47.72,8,286.32,147,15
235,236,3,150.18,10,0.0,181,15
236,237,3,123.27,5,164.36,141,15
237,238,1,50.05,8,150.15,79,19
238,239,3,141.66,2,0.0,215,19
239,240,1,42.98,15,42.98,118,19
240,241,4,191.36,3,0.0,65,21
241,242,2,40.06,14,120.18,69,21
242,243,1,50.08,7,0.0,129,21
243,244,1,44.43,12,222.15,17,26
244,245,4,194.2,13,0.0,165,26
245,246,1,44.67,9,0.0,162,26
246,247,2,99.96,6,49.98,143,27
247,248,2,40.06,14,160.24,69,27
248,249,3,148.47,6,0.0,148,27
249,250,2,98.86,4,49.43,182,30
250,251,3,100.17,9,100.17,246,30
251,252,1,45.97,6,45.97,212,30
252,253,2,99.5,3,0.0,35,31
253,254,1,47.19,6,94.38,110,31
254,255,1,50.08,7,50.08,129,31
255,256,3,137.91,6,91.94,212,32
256,257,2,69.8,12,0.0,4,32
257,258,3,139.62,9,0.0,228,32
258,259,1,48.96,5,48.96,6,35
259,260,1,50.17,5,150.51,30,35
260,261,4,145.36,5,0.0,109,35
261,262,2,99.62,7,49.81,89,36
262,263,1,46.54,9,139.62,228,36
263,264,2,98.92,10,49.46,7,36
264,265,4,161.0,3,0.0,57,37
265,266,1,39.34,12,0.0,59,37
266,267,3,150.0,12,50.0,46,37
267,268,3,145.5,13,0.0,93,38
268,269,1,39.93,2,159.72,90,38
269,270,1,49.82,12,0.0,47,38
270,271,4,200.36,14,350.63,169,40
271,272,2,95.76,3,0.0,177,40
272,273,2,99.74,12,199.48,164,40
273,274,4,148.96,9,0.0,121,43
274,275,1,50.05,8,200.2,79,43
275,276,1,49.35,2,49.35,128,43
276,277,2,98.36,15,0.0,218,47
277,278,3,114.51,12,38.17,233,47
278,279,2,99.74,12,299.22,164,47
279,280,1,40.03,13,40.03,206,49
280,281,1,49.83,3,0.0,175,49
281,282,2,98.3,10,98.3,124,49
282,283,2,86.5,8,86.5,83,1
283,284,3,92.25,8,0.0,204,1
284,285,2,98.96,14,0.0,111,1
285,286,1,42.07,11,0.0,224,11
286,287,1,49.88,14,49.88,213,11
287,288,2,99.54,3,99.54,189,11
288,289,3,148.89,7,347.41,159,14
289,290,1,49.04,1,0.0,216,14
290,291,2,99.46,7,0.0,211,14
291,292,2,90.74,5,0.0,31,22
292,293,2,42.32,15,169.28,54,22
293,294,1,35.04,2,0.0,36,22
294,295,1,46.37,11,185.48,134,28
295,296,4,139.6,12,69.8,4,28
296,297,2,94.38,6,141.57,110,28
297,298,2,85.96,15,85.96,118,50
298,299,1,49.2,15,98.4,55,50
299,300,2,98.3,10,196.6,124,50
300,301,1,47.83,7,0.0,161,2
301,302,2,99.1,15,49.55,236,2
302,303,2,98.52,4,344.82,5,2
303,304,1,48.73,5,48.73,173,20
304,305,1,50.0,12,200.0,46,20
305,306,3,68.67,5,22.89,197,20
306,307,1,49.42,3,0.0,11,29
307,308,4,178.24,10,0.0,223,29
308,309,3,117.66,13,39.22,126,29
309,310,3,142.2,3,284.4,174,44
310,311,2,99.2,12,248.0,119,44
311,312,2,93.1,13,139.65,123,44
312,313,1,50.14,13,100.28,29,46
313,314,1,48.86,12,146.58,149,46
314,315,4,133.28,15,133.28,9,46
315,316,2,66.64,15,266.56,9,9
316,317,3,123.15,2,0.0,64,9
317,318,1,48.13,7,0.0,62,9
318,319,1,46.59,12,46.59,241,13
319,320,1,47.4,3,426.6,174,13
320,321,1,49.98,7,199.92,34,13
321,322,3,63.48,15,211.6,54,18
322,323,1,46.37,11,231.85,134,18
323,324,4,190.04,4,190.04,190,18
324,325,2,89.08,7,0.0,172,39
325,326,2,77.26,11,193.15,14,39
326,327,1,48.92,7,146.76,171,39
327,328,1,47.11,6,47.11,180,42
328,329,1,43.78,13,262.68,72,42
329,330,2,86.5,8,173.0,83,42
330,331,1,40.03,13,80.06,206,48
331,332,1,49.15,10,294.9,124,48
332,333,1,41.05,2,123.15,64,48
333,334,1,49.31,1,49.31,155,7
334,335,2,99.74,6,0.0,56,7
335,336,1,49.9,9,199.6,238,7
336,337,2,89.12,10,178.24,223,16
337,338,1,48.5,13,145.5,93,16
338,339,2,50.3,12,100.6,234,16
339,340,1,49.69,4,0.0,96,34
340,341,1,49.43,4,148.29,182,34
341,342,1,49.97,10,0.0,114,34
342,343,1,47.84,3,191.36,65,45
343,344,1,49.98,7,249.9,34,45
344,345,2,70.08,2,35.04,36,45
345,346,3,52.17,2,69.56,250,5
346,347,2,99.96,7,299.88,34,5
347,348,2,99.88,12,0.0,105,5
348,349,1,50.2,10,301.2,60,9
349,350,2,98.86,15,0.0,12,9
350,351,4,200.68,2,50.17,52,9
351,352,1,49.97,10,49.97,114,12
352,353,3,149.04,14,0.0,2,12
353,354,1,49.98,7,399.84,34,12
354,355,4,139.6,12,209.4,4,15
355,356,4,194.92,5,97.46,173,15
356,357,2,99.74,6,99.74,56,15
357,358,4,156.48,7,39.12,232,18
358,359,2,94.22,6,94.22,180,18
359,360,3,62.37,13,83.16,230,18
360,361,2,76.34,12,152.68,233,19
361,362,2,100.48,11,150.72,39,19
362,363,1,48.63,5,0.0,16,19
363,364,4,91.56,5,91.56,197,22
364,365,2,98.12,10,0.0,101,22
365,366,1,50.08,7,100.16,129,22
366,367,1,22.89,5,183.12,197,25
367,368,2,100.52,14,0.0,125,25
368,369,1,49.01,2,98.02,98,25
369,370,1,50.11,8,0.0,191,26
370,371,4,199.36,10,-1550.98,99,26
371,372,3,149.94,7,449.82,34,26
372,373,1,50.16,8,0.0,193,28
373,374,3,149.61,6,199.48,56,28
374,375,2,95.68,3,239.2,65,28
375,376,1,49.41,4,247.05,221,29
376,377,4,196.16,1,49.04,216,29
377,378,2,97.1,13,194.2,165,29
378,379,2,89.22,2,89.22,135,31
379,380,2,100.44,4,0.0,85,31
380,381,4,188.44,6,188.44,180,31
381,382,3,140.73,12,140.73,24,32
382,383,3,133.29,12,266.58,17,32
383,384,1,48.52,15,0.0,138,32
384,385,2,77.48,10,38.74,170,34
385,386,1,49.73,7,99.46,211,34
386,387,3,90.48,1,0.0,73,34
387,388,3,99.96,15,333.2,9,35
388,389,4,178.44,2,178.44,135,35
389,390,2,93.68,8,0.0,58,35
390,391,2,100.52,14,100.52,125,37
391,392,1,35.04,2,105.12,36,37
392,393,2,94.16,9,94.16,102,37
393,394,2,81.24,15,324.96,117,38
394,395,4,185.48,11,278.22,134,38
395,396,2,90.7,6,0.0,61,38
396,397,2,89.08,7,89.08,172,39
397,398,1,48.98,4,0.0,130,39
398,399,1,48.79,2,48.79,127,39
399,400,3,119.79,2,199.65,90,44
400,401,2,90.74,5,90.74,31,44
401,402,3,150.15,1,200.2,201,44
402,403,1,40.39,2,40.39,198,47
403,404,3,133.29,12,399.87,17,47
404,405,1,47.83,7,47.83,161,47
405,406,3,88.44,15,29.48,78,49
406,407,1,39.22,13,-349.64,126,49
407,408,2,70.76,2,0.0,188,49
408,409,4,197.12,15,0.0,158,6
409,410,1,49.73,7,149.19,211,6
410,411,3,147.51,7,98.34,145,6
411,412,3,148.11,10,0.0,196,8
412,413,2,89.08,7,178.16,172,8
413,414,3,147.84,15,197.12,158,8
414,415,1,48.89,2,146.67,94,10
415,416,1,47.4,3,474.0,174,10
416,417,2,96.08,15,144.12,249,10
417,418,2,84.5,3,84.5,184,11
418,419,4,116.72,10,145.9,151,11
419,420,3,105.12,2,140.16,36,11
420,421,4,196.04,7,0.0,225,14
421,422,2,99.66,3,49.83,175,14
422,423,2,77.24,12,231.72,235,14
423,424,4,198.52,15,297.78,133,43
424,425,1,49.98,6,149.94,143,43
425,426,1,48.61,7,97.22,222,43
426,427,2,88.86,12,533.16,17,46
427,428,2,96.72,7,0.0,214,46
428,429,1,41.38,5,206.9,203,46
429,430,4,165.52,5,248.28,203,1
430,431,1,49.83,10,0.0,45,1
431,432,1,49.88,14,99.76,213,1
432,433,3,144.39,7,48.13,62,40
433,434,2,58.96,15,117.92,78,40
434,435,3,133.71,2,0.0,248,40
435,436,3,149.43,4,0.0,219,2
436,437,1,48.94,5,195.76,40,2
437,438,2,96.74,15,145.11,208,2
438,439,1,37.24,9,148.96,121,13
439,440,3,52.17,2,121.73,250,13
440,441,3,90.48,1,90.48,73,13
441,442,2,97.88,6,0.0,108,21
442,443,2,97.66,4,195.32,113,21
443,444,4,154.48,12,308.96,235,21
444,445,2,98.82,4,296.46,221,27
445,446,2,99.74,12,398.96,164,27
446,447,2,99.54,3,199.08,189,27
447,448,1,40.25,3,161.0,57,37
448,449,2,92.38,7,92.38,142,37
449,450,1,46.55,13,232.75,123,37
450,451,1,49.83,4,348.81,53,42
451,452,2,98.22,5,441.99,192,42
452,453,1,28.34,9,28.34,154,42
453,454,1,50.26,14,201.04,125,48
454,455,1,50.02,12,0.0,186,48
455,456,1,46.55,13,279.3,123,48
456,457,2,92.38,7,184.76,142,7
457,458,1,48.92,7,195.68,171,7
458,459,2,96.46,10,192.92,139,7
459,460,1,47.83,7,95.66,161,2
460,461,4,200.68,5,200.68,30,2
461,462,2,61.5,8,92.25,204,2
462,463,1,48.98,4,48.98,130,5
463,464,2,99.1,15,148.65,236,5
464,465,2,77.24,12,463.44,235,5
465,466,1,49.28,15,344.96,158,6
