,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,9062,167981.0,236259.0,68277.5,1
1,2,11518,236221.0,327598.0,91376.3,1
2,3,5820,138658.0,193197.0,54538.9,1
3,4,5152,169569.0,225572.0,56003.3,1
4,5,10857,205304.0,284404.0,79100.0,1
5,6,8917,177700.0,247109.0,69409.1,1
6,7,7038,141695.0,193243.0,51548.0,1
7,8,12149,161078.0,215866.0,54788.3,1
8,9,11155,206384.0,277664.0,71279.1,1
9,10,12033,245737.0,358308.0,112571.0,1
10,11,7291,151547.0,198949.0,47402.1,1
11,12,7328,138152.0,198185.0,60032.8,1
12,13,8161,187678.0,262720.0,75042.0,1
13,14,9935,216447.0,304259.0,87812.4,1
14,15,9749,161779.0,222728.0,60948.5,1
