,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,22.24,56,788,12.93,10124.2,17525.1,7400.93,7
1,2,17.18,30,970,9.99,9670.32,16664.6,6994.28,6
2,3,5.37,49,1042,3.12,3285.36,5595.54,2310.18,2
3,4,72.21,21,235,41.98,8773.82,16969.3,8195.53,14
4,5,63.92,34,284,37.16,10776.4,18153.3,7376.88,3
5,6,79.72,50,203,46.35,8991.9,16183.2,7191.26,13
6,7,62.44,85,284,36.3,11942.7,17733.0,5790.26,4
7,8,14.53,74,868,8.45,7697.95,12612.0,4914.09,5
8,9,40.59,93,457,23.6,11729.2,18549.6,6820.43,11
9,10,73.99,68,268,43.02,12045.6,19829.3,7783.72,4
10,11,32.49,98,606,18.89,12032.9,19688.9,7656.01,10
11,12,19.54,48,769,11.36,9008.48,15026.3,6017.78,7
12,13,19.14,21,851,11.13,9171.12,16288.1,7117.02,4
13,14,35.38,72,634,20.57,13864.2,22430.9,8566.74,5
14,15,25.27,52,698,14.69,10576.8,17638.5,7061.66,3
15,16,23.24,74,800,13.51,11321.4,18592.0,7270.62,12
16,17,47.71,68,399,27.74,11928.2,19036.3,7108.09,8
17,18,87.65,38,164,50.96,6879.6,14374.6,7495.0,12
18,19,87.48,26,197,50.86,9307.38,17233.6,7926.18,11
19,20,74.61,64,202,43.38,10584.7,15071.2,4486.5,3
20,21,35.54,134,551,20.66,13594.3,19582.5,5988.26,6
21,22,34.21,44,572,19.89,11595.9,19568.1,7972.25,15
22,23,11.92,106,1020,6.93,7539.84,12158.4,4618.56,3
23,24,34.64,29,632,20.14,12647.9,21892.5,9244.56,6
24,25,72.62,71,245,42.22,11399.4,17791.9,6392.5,9
25,26,57.48,80,360,33.42,13535.1,20692.8,7157.7,10
26,27,67.37,58,294,39.17,12847.8,19806.8,6959.02,13
27,28,37.53,41,512,21.82,10691.8,19215.4,8523.56,8
28,29,17.15,26,874,9.97,8733.72,14989.1,6255.38,4
29,30,20.69,21,851,12.03,10237.5,17607.2,7369.66,12
30,31,76.14,161,248,44.27,16424.2,18882.7,2458.55,12
31,32,48.9,48,452,28.43,12907.2,22102.8,9195.58,7
32,33,38.15,37,540,22.18,12176.8,20601.0,8424.18,7
33,34,10.04,54,952,5.84,5553.84,9558.08,4004.24,8
34,35,37.17,67,562,21.61,12296.1,20889.5,8593.45,15
35,36,81.27,89,204,47.25,11576.2,16579.1,5002.83,2
36,37,72.5,21,278,42.15,9778.8,20155.0,10376.2,14
37,38,17.7,74,850,10.29,8931.72,15045.0,6113.28,6
38,39,56.98,26,399,33.13,12191.8,22735.0,10543.2,1
39,40,52.17,70,343,30.33,10979.5,17894.3,6914.85,5
40,41,46.25,78,506,26.89,13902.1,23402.5,9500.37,4
41,42,54.75,50,445,31.83,14482.7,24363.8,9881.1,7
42,43,60.27,23,329,35.04,11247.8,19828.8,8580.99,10
43,44,43.95,34,486,25.55,11778.5,21359.7,9581.15,12
44,45,25.92,23,778,15.07,11619.0,20165.8,8546.79,8
45,46,81.17,60,165,47.19,9013.29,13393.0,4379.76,1
46,47,16.12,23,842,9.37,7692.77,13573.0,5880.27,5
47,48,41.37,49,549,24.05,13155.3,22712.1,10326.4,2
48,49,6.04,29,1075,3.51,3727.62,6493.0,2765.38,3
49,50,45.92,127,499,26.7,15886.5,22914.1,7027.58,4
50,51,86.58,58,173,50.34,10219.0,14978.3,4759.32,13
51,52,20.49,38,813,11.91,9432.72,16658.4,7225.65,7
52,53,83.76,67,213,48.7,11054.9,17840.9,9074.88,14
53,54,61.54,89,339,35.78,14025.8,20862.1,6836.3,14
54,55,44.41,49,473,25.82,11696.5,21005.9,9309.47,1
55,56,26.56,24,757,15.44,11610.9,20105.9,8495.04,12
56,57,65.36,95,269,38.0,12122.0,17581.8,5459.84,13
57,58,41.33,109,524,24.03,14634.3,21656.9,9161.32,5
58,59,63.31,58,357,36.81,12993.9,22601.7,9607.74,12
59,60,43.36,127,570,25.21,16386.5,24715.2,8328.7,13
60,61,10.06,107,1097,5.85,6663.15,11035.8,4372.67,4
61,62,47.28,72,487,27.49,14267.3,23025.4,8758.05,4
62,63,2.56,121,1104,1.49,1792.47,2826.24,1184.26,1
63,64,58.45,111,321,33.98,12334.7,18762.5,6427.71,6
64,65,86.93,144,145,50.54,11371.5,12604.8,1233.35,8
65,66,28.69,58,662,16.68,11359.1,18992.8,7633.7,9
66,67,8.46,54,1002,4.92,4856.04,8476.92,3620.88,5
67,68,78.86,26,212,45.85,9124.15,16718.3,7594.17,15
68,69,8.91,22,972,5.18,4796.68,8660.52,3863.84,15
69,70,40.99,118,575,23.83,15751.6,23569.2,7817.62,7
70,71,38.51,21,567,22.39,11799.5,21835.2,10035.6,10
71,72,67.99,24,221,39.53,8459.42,15025.8,6566.37,1
72,73,81.6,119,199,47.44,12951.1,16238.4,3287.28,9
73,74,57.45,23,348,33.4,11055.4,19992.6,8937.2,13
74,75,55.49,156,362,32.26,15646.1,20087.4,4441.28,3
75,76,61.73,64,317,35.89,12346.2,19568.4,8837.3,11
76,77,35.12,39,581,20.42,11884.4,20404.7,8520.28,6
77,78,25.65,95,749,14.91,12121.8,19211.8,7090.02,13
78,79,38.48,69,548,22.37,13086.5,21087.0,8000.59,10
79,80,6.16,88,1114,3.58,4195.76,6862.24,2666.48,5
80,81,22.07,48,825,12.83,10546.3,18207.8,7661.49,7
81,82,28.05,86,613,16.31,10275.3,17194.7,6919.35,2
82,83,29.03,22,704,16.88,11782.2,20437.1,8654.88,6
83,84,71.95,104,204,41.83,11586.9,14677.8,3090.89,9
84,85,50.72,35,459,29.49,13624.4,23280.5,9656.1,5
85,86,38.2,43,535,22.21,11682.5,20437.0,8754.54,12
86,87,86.09,51,206,50.05,9609.6,17734.5,8124.94,13
87,88,86.83,77,200,50.48,11459.0,17366.0,5907.04,9
88,89,46.73,156,452,27.17,14726.1,21122.0,10118.1,1
89,90,39.87,100,594,23.18,15553.8,23682.8,8129.0,7
90,91,7.16,39,1073,4.16,4467.84,7682.68,3214.84,2
91,92,35.35,33,573,20.55,11898.4,20255.5,8357.1,4
92,93,24.97,39,697,14.52,10047.8,17404.1,7356.25,11
93,94,73.27,80,231,42.6,10905.6,16925.4,6019.77,10
94,95,18.4,129,868,10.7,10325.5,15971.2,5645.7,10
95,96,77.19,87,240,44.88,11623.9,18525.6,6901.68,3
96,97,86.96,80,148,50.56,9960.32,12870.1,2909.76,10
97,98,9.24,46,1012,5.37,5477.4,9350.88,3873.48,2
98,99,49.69,150,421,28.89,15282.8,20919.5,5636.68,6
99,100,21.74,134,789,12.64,11211.7,17152.9,5941.18,12
100,101,44.5,34,479,25.87,11589.8,21315.5,9725.74,13
101,102,81.67,38,189,47.48,9543.48,15435.6,5892.15,11
102,103,79.03,43,173,45.95,8087.2,13672.2,5584.99,11
103,104,18.13,48,970,10.54,10381.9,17586.1,7204.2,11
104,105,24.53,86,730,14.26,11279.7,17906.9,6627.24,7
105,106,74.92,39,232,43.56,9321.84,17381.4,8059.6,7
106,107,26.45,112,762,15.38,12826.9,20154.9,7327.98,5
107,108,68.92,82,284,40.07,12381.6,19573.3,7191.65,14
108,109,71.88,68,261,41.79,10865.4,18760.7,7895.28,11
109,110,76.61,80,218,44.54,12114.9,16701.0,4586.1,8
110,111,21.78,52,779,12.66,10039.4,16966.6,6927.24,11
111,112,78.66,127,212,45.73,14359.2,16675.9,2316.7,3
112,113,63.47,82,254,36.9,10959.3,16121.4,5162.08,10
113,114,46.32,63,420,26.93,11283.7,19454.4,8170.73,9
114,115,61.09,48,303,35.52,10407.4,18510.3,8102.91,2
115,116,16.51,67,910,9.6,8995.2,15024.1,6028.9,6
116,117,25.56,31,725,14.86,10550.6,18531.0,7980.4,1
117,118,19.4,27,901,11.28,9779.76,17479.4,7699.64,5
118,119,34.5,60,617,20.06,13059.1,21286.5,8227.44,6
119,120,73.05,81,258,42.47,13123.2,18846.9,5723.67,11
120,121,48.66,59,419,28.29,12249.6,20388.5,8138.97,9
121,122,64.35,74,276,37.41,11148.2,17760.6,6612.42,15
122,123,5.02,42,1066,2.92,3147.76,5351.32,2203.56,8
123,124,57.0,53,315,33.14,10372.8,17955.0,7582.18,13
124,125,29.39,155,656,17.09,12920.0,19279.8,6359.8,15
125,126,84.92,43,166,49.37,7405.5,14096.7,6691.22,3
126,127,19.35,61,841,11.25,9810.0,16273.4,6463.35,6
127,128,78.11,30,186,45.41,6766.09,14528.5,7762.37,3
128,129,76.63,128,198,44.55,13498.6,15172.7,1674.09,12
129,130,29.09,103,703,16.91,12631.8,20450.3,7818.5,1
130,131,9.6,87,1013,5.58,5775.3,9724.8,3949.5,1
131,132,31.84,72,680,18.51,12697.9,21651.2,8953.34,10
132,133,35.48,40,641,20.63,12666.8,22742.7,10075.9,12
133,134,5.52,103,1145,3.21,3861.63,6320.4,2458.77,14
134,135,37.39,33,612,21.74,13174.4,22882.7,9708.24,3
135,136,6.64,112,1152,3.86,4728.5,7649.28,2920.78,9
136,137,18.3,92,896,10.64,9980.32,16396.8,6416.48,15
137,138,58.67,31,327,34.11,11529.2,19185.1,7655.91,5
138,139,17.53,42,808,10.19,7958.39,14164.2,6205.85,12
