,idVenda,Quantidade,vendaValor,Departamento,prodLucro,Produto_idProduto,Cliente_idCliente
0,1,1,65.12,9,0.0,119,2
1,2,1,55.84,6,0.0,234,2
2,3,1,15.42,13,0.0,148,2
3,4,4,155.4,2,0.0,52,4
4,5,1,41.77,11,0.0,7,4
5,6,3,50.16,12,0.0,209,4
6,7,3,30.84,7,0.0,200,5
7,8,2,21.0,3,0.0,69,5
8,9,1,24.24,14,0.0,215,5
9,10,3,108.45,11,0.0,87,8
10,11,4,78.88,14,0.0,202,8
11,12,1,22.9,2,0.0,55,8
12,13,4,141.2,14,0.0,56,9
13,14,2,110.32,4,0.0,79,9
14,15,2,75.12,5,0.0,47,9
15,16,3,19.38,7,0.0,221,10
16,17,3,26.94,4,0.0,190,10
17,18,2,72.28,3,0.0,134,10
18,19,2,86.76,14,0.0,246,14
19,20,3,159.81,5,0.0,93,14
20,21,1,33.14,9,0.0,121,14
21,22,2,65.58,5,0.0,37,15
22,23,4,61.52,7,0.0,17,15
23,24,2,12.42,5,0.0,142,15
24,25,1,44.87,13,0.0,231,17
25,26,2,70.6,14,141.2,56,17
26,27,3,136.32,2,0.0,48,17
27,28,1,15.9,1,0.0,199,18
28,29,1,47.48,9,0.0,91,18
29,30,2,5.12,4,0.0,224,18
30,31,3,125.67,1,0.0,31,19
31,32,3,38.79,13,0.0,71,19
32,33,1,74.22,2,0.0,35,19
33,34,1,32.47,13,0.0,192,20
34,35,4,98.28,15,0.0,115,20
35,36,1,41.77,11,41.77,7,20
36,37,3,154.35,3,0.0,23,21
37,38,4,83.16,5,0.0,169,21
38,39,1,32.47,13,32.47,192,21
39,40,2,83.54,11,83.54,7,23
40,41,1,58.77,12,0.0,65,23
41,42,2,39.44,14,78.88,202,23
42,43,1,10.5,3,21.0,69,25
43,44,3,56.19,4,0.0,182,25
44,45,4,65.96,8,0.0,245,25
45,46,3,47.52,3,0.0,154,27
46,47,1,43.31,6,0.0,171,27
47,48,3,112.65,4,0.0,118,27
48,49,2,63.96,12,0.0,149,28
49,50,2,90.88,2,136.32,48,28
50,51,1,16.49,8,65.96,245,28
51,52,1,6.21,5,12.42,142,30
52,53,3,176.31,12,58.77,65,30
53,54,2,148.32,9,0.0,145,30
54,55,2,45.8,2,22.9,55,32
55,56,1,35.4,1,0.0,30,32
56,57,4,63.36,3,47.52,154,32
57,58,4,92.76,13,0.0,184,33
58,59,1,8.98,4,26.94,190,33
59,60,2,150.74,2,0.0,109,33
60,61,2,120.88,2,0.0,195,37
61,62,3,133.29,4,0.0,183,37
62,63,1,6.26,7,0.0,211,37
63,64,2,143.94,13,0.0,1,38
64,65,2,9.36,5,0.0,167,38
65,66,3,72.72,14,24.24,215,38
66,67,1,51.88,13,0.0,107,39
67,68,2,63.96,12,63.96,149,39
68,69,2,76.22,1,0.0,58,39
69,70,2,131.86,9,0.0,170,40
70,71,2,112.58,7,0.0,210,40
71,72,2,100.16,3,0.0,216,40
72,73,4,14.56,4,0.0,4,41
73,74,4,241.8,14,0.0,139,41
74,75,1,24.46,4,0.0,40,41
75,76,3,117.15,5,0.0,41,43
76,77,3,44.7,14,0.0,105,43
77,78,1,47.26,15,0.0,80,43
78,79,1,6.46,7,19.38,221,46
79,80,2,3.22,6,0.0,66,46
80,81,1,75.75,3,0.0,45,46
81,82,1,64.52,2,0.0,24,47
82,83,2,120.22,6,0.0,100,47
83,84,1,15.33,10,0.0,62,47
84,85,3,124.95,14,0.0,143,49
85,86,3,125.31,11,167.08,7,49
86,87,1,31.98,12,127.92,149,49
87,88,1,67.15,3,0.0,228,3
88,89,1,73.61,12,0.0,138,3
89,90,3,133.02,1,0.0,57,3
90,91,4,141.6,1,35.4,30,7
