,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,1961,36433.4,96698.1,60264.7,1
1,2,1863,40486.8,128550.0,88063.0,1
2,3,2536,33574.4,97028.3,63453.9,1
3,4,3985,56039.2,133417.0,77378.2,1
4,5,4187,65844.0,190600.0,124756.0,1
5,6,3485,70480.5,172880.0,102399.0,1
6,7,3975,43961.9,108237.0,64275.1,1
7,8,4921,90281.0,226143.0,135862.0,1
8,9,2032,52803.5,123013.0,70209.7,1
9,10,2480,44517.4,106069.0,61552.1,1
10,11,3526,70009.1,167890.0,97880.4,1
11,12,5152,48776.0,131142.0,82366.0,1
12,13,2984,42959.3,111816.0,68857.0,1
13,14,1605,27742.7,70908.2,43165.6,1
14,15,4049,72460.1,170876.0,98416.2,1
