,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,52.32,85,180,13.08,3086.88,9417.6,6330.72,10
1,2,66.96,33,156,16.74,2812.32,10445.8,7633.44,9
2,3,80.64,53,76,20.16,1753.92,6128.64,4374.72,14
3,4,21.04,50,448,5.26,2388.04,9425.92,7037.88,4
4,5,48.88,41,188,12.22,1991.86,9189.44,7197.58,1
5,6,53.88,102,211,13.47,3300.15,11368.7,8068.53,5
6,7,14.52,104,518,3.63,2083.62,7521.36,5437.74,15
7,8,157.44,30,21,39.36,0.0,3306.24,3306.24,4
8,9,123.28,94,33,30.82,2897.08,4068.24,1171.16,10
9,10,169.0,24,16,42.25,0.0,2704.0,2704.0,2
10,11,91.68,92,64,22.92,2475.36,5867.52,3392.16,12
11,12,68.48,64,139,17.12,2362.56,9518.72,7156.16,15
12,13,178.84,31,20,44.71,0.0,3576.8,3576.8,7
13,14,103.92,38,48,25.98,779.4,4988.16,4208.76,9
14,15,130.72,112,39,32.68,3562.12,5098.08,1535.96,1
15,16,11.64,55,565,2.91,1617.96,6576.6,4958.64,4
16,17,64.12,106,143,16.03,3189.97,9169.16,5979.19,3
17,18,104.64,74,61,26.16,1857.36,6383.04,4525.68,13
18,19,52.72,35,212,13.18,2385.58,11176.6,8791.06,2
19,20,41.0,63,253,10.25,2654.75,10373.0,7718.25,13
20,21,25.12,61,390,6.28,2442.92,9796.8,7353.88,15
21,22,173.48,45,19,43.37,1734.8,3296.12,1561.32,1
22,23,46.76,116,183,11.69,3027.71,8557.08,5529.37,11
23,24,126.68,21,44,31.67,0.0,5573.92,5573.92,13
24,25,192.04,44,11,48.01,0.0,2112.44,2112.44,11
25,26,110.36,106,47,27.59,3669.47,5186.92,1517.45,15
26,27,185.72,24,9,46.43,0.0,1671.48,1671.48,9
27,28,107.64,44,67,26.91,2233.53,7211.88,4978.35,5
28,29,130.16,136,25,32.54,4165.12,3254.0,-911.12,15
29,30,195.16,38,10,48.79,0.0,1951.6,1951.6,4
30,31,117.8,61,61,29.45,2797.75,7185.8,4388.05,4
31,32,37.96,32,287,9.49,2733.12,10894.5,8161.4,1
32,33,109.24,109,55,27.31,2649.07,6008.2,3359.13,8
33,34,164.32,91,19,41.08,3039.92,3122.08,82.1599,5
34,35,58.96,98,150,14.74,2726.9,8844.0,6117.1,2
