,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,7958,165838.0,226755.0,60917.1,1
1,2,14810,217964.0,324283.0,106319.0,1
2,3,7521,181836.0,249612.0,67776.6,1
3,4,7687,214875.0,295705.0,80829.2,1
4,5,10097,197452.0,271234.0,73782.1,1
5,6,9968,241021.0,333888.0,92866.3,1
6,7,16158,413314.0,564293.0,150979.0,1
7,8,6704,174349.0,239459.0,65110.3,1
8,9,8358,141308.0,206609.0,65301.5,1
9,10,10787,261314.0,358245.0,96931.2,1
10,11,6762,163037.0,234581.0,71543.3,1
11,12,15513,214390.0,327812.0,113422.0,1
12,13,10727,178420.0,264260.0,85840.1,1
13,14,5426,130444.0,180862.0,50417.8,1
14,15,13988,268383.0,371327.0,102945.0,1
