,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,49.74,60,460,35.03,15903.6,22880.4,6976.78,7
1,2,54.72,97,449,37.48,19377.2,24569.3,5192.12,14
2,3,70.33,94,258,45.67,14340.4,18145.1,3804.76,11
3,4,9.54,46,1054,4.06,4340.14,10055.2,5715.02,12
4,5,43.4,47,519,31.68,16346.9,22524.6,6177.72,4
5,6,38.56,64,512,28.56,15336.7,19742.7,4406.0,5
6,7,48.24,66,460,34.21,17139.2,22190.4,5051.19,10
7,8,45.68,45,487,32.86,16627.2,22246.2,5619.0,9
8,9,9.83,57,1098,3.56,3908.88,10793.3,6884.46,15
9,10,63.25,95,300,41.61,15437.3,18975.0,3537.69,5
10,11,47.03,56,454,33.59,15955.2,21351.6,5396.37,3
11,12,47.36,117,452,33.83,18132.9,21406.7,3273.84,15
12,13,40.38,67,533,29.69,16121.7,21522.5,5400.87,7
13,14,11.38,27,1055,5.69,5923.29,12005.9,6082.61,11
14,15,50.21,93,394,35.36,15699.8,19782.7,4082.9,12
15,16,34.88,84,629,25.84,17131.9,21939.5,4807.6,5
16,17,17.11,83,864,11.18,10062.0,14783.0,4721.04,12
17,18,18.57,41,882,12.38,10906.8,16378.7,5471.96,10
18,19,71.15,33,224,46.2,10348.8,15937.6,5588.8,7
19,20,42.96,122,501,31.36,18471.0,21523.0,3051.92,2
20,21,6.62,77,1121,1.66,1933.9,7421.02,5487.12,2
21,22,38.58,93,547,28.58,17719.6,21103.3,5498.58,5
22,23,49.01,63,452,34.76,16198.2,22152.5,5954.36,13
23,24,24.52,60,779,17.03,13266.4,19101.1,5834.71,12
24,25,41.47,29,544,30.49,16129.2,22559.7,6430.47,5
25,26,76.0,75,246,49.03,14316.8,18696.0,4379.24,14
26,27,77.16,35,190,49.78,8064.36,14660.4,6596.04,2
27,28,36.75,98,617,27.22,18809.0,22674.8,3865.73,5
28,29,73.27,40,233,47.27,11297.5,17071.9,5774.38,13
29,30,74.57,62,203,48.11,9573.89,15137.7,5563.82,5
30,31,19.25,117,929,12.92,13165.5,17883.2,4717.77,5
31,32,57.76,87,352,39.03,14714.3,20331.5,5617.21,1
32,33,16.96,64,874,11.01,9633.75,14823.0,5189.29,3
33,34,66.64,69,283,43.27,13370.4,18859.1,5488.69,7
34,35,57.31,150,323,38.72,17075.5,18511.1,1435.61,3
35,36,9.66,93,953,4.11,4146.99,9205.98,5058.99,2
36,37,32.04,28,698,23.56,16586.2,22363.9,5777.68,1
37,38,44.85,27,475,32.5,14885.0,21303.8,6418.75,10
38,39,78.07,93,207,50.37,12693.2,16160.5,3467.25,11
39,40,38.34,73,511,28.4,14654.4,19591.7,4937.34,5
40,41,25.37,53,777,17.74,13784.0,19712.5,5928.51,15
41,42,67.1,36,251,43.57,11284.6,16842.1,5557.47,1
42,43,52.62,90,432,36.54,16735.3,22731.8,5996.52,9
43,44,14.24,76,925,8.09,7628.87,13172.0,5543.13,14
44,45,60.07,76,333,40.05,14177.7,20003.3,5825.61,10
45,46,67.19,42,268,43.63,12303.7,18006.9,5703.26,12
46,47,60.03,50,379,40.02,14407.2,22751.4,8344.17,12
47,48,69.69,33,293,45.25,12851.0,20419.2,7568.17,6
48,49,40.87,40,558,30.05,16227.0,22805.5,6578.46,11
49,50,78.48,43,198,50.63,9467.81,15539.0,6071.23,6
50,51,73.5,34,256,47.42,10811.8,18816.0,8004.24,4
51,52,74.82,38,226,48.27,9654.0,16909.3,7255.32,2
52,53,60.22,56,355,40.15,14855.5,21378.1,6522.6,4
53,54,5.56,73,1061,1.39,1508.15,5899.16,4391.01,15
54,55,42.5,33,488,31.02,14796.5,20740.0,5943.46,15
55,56,62.29,73,321,40.98,14629.9,19995.1,5365.23,6
56,57,12.4,38,1040,6.7,6974.7,12896.0,5921.3,3
57,58,24.21,47,753,16.81,12809.2,18230.1,5420.91,8
58,59,12.02,23,1098,6.1,6508.7,13198.0,6689.26,12
59,60,76.01,47,244,49.04,11818.6,18546.4,6727.8,10
60,61,19.18,69,923,12.87,12445.3,17703.1,5257.85,6
61,62,30.61,25,717,22.51,15486.9,21947.4,6460.49,7
62,63,31.21,23,599,22.95,13242.2,18694.8,5452.64,15
63,64,13.16,36,1038,7.31,7624.33,13660.1,6035.75,2
64,65,28.9,83,683,20.94,15202.4,19738.7,4536.26,3
65,66,27.52,61,794,19.8,15622.2,21850.9,6228.68,14
66,67,50.15,71,495,35.32,18331.1,24824.2,6493.17,2
67,68,13.48,128,1093,7.53,8697.15,14733.6,6036.49,15
68,69,5.08,70,1135,1.27,1478.28,5765.8,4287.52,14
69,70,32.16,22,699,23.65,15467.1,22479.8,7012.74,13
70,71,30.18,79,598,22.03,13746.7,18047.6,4300.92,6
71,72,16.03,110,934,10.21,10056.8,14972.0,4915.17,13
72,73,7.78,56,1046,2.77,2958.36,8137.88,5179.52,1
73,74,34.87,32,635,25.83,16040.4,22142.4,6102.02,15
74,75,57.39,136,379,38.78,19157.3,21750.8,2593.49,7
75,76,18.92,100,852,12.7,11430.0,16119.8,4689.84,1
76,77,26.85,153,692,19.18,15037.1,18580.2,6113.2,11
77,78,8.02,32,995,2.63,2590.55,7979.9,5389.35,15
78,79,69.05,96,254,44.84,13048.4,17538.7,4490.26,8
79,80,20.28,103,764,13.7,11110.7,15493.9,4383.22,1
80,81,6.32,70,1093,1.58,1771.18,6907.76,5136.58,1
81,82,75.44,47,223,48.67,11826.8,16823.1,6359.07,10
82,83,15.98,67,858,9.51,8311.74,13710.8,5399.1,8
83,84,42.69,68,516,31.16,17574.2,22028.0,4453.8,15
84,85,76.88,117,192,49.6,12896.0,14761.0,1864.96,4
85,86,12.37,81,944,6.41,6416.41,11677.3,5260.87,6
86,87,69.27,72,297,44.98,15383.2,20573.2,5190.03,9
87,88,29.15,34,649,21.28,13917.1,18918.3,5001.23,7
88,89,59.11,35,291,39.67,10829.9,17201.0,6371.1,7
89,90,12.31,111,1003,6.48,6829.92,12346.9,5517.01,2
90,91,28.46,54,691,20.62,14557.7,19665.9,5108.14,11
91,92,7.9,40,1122,2.82,3107.64,8863.8,5756.16,12
92,93,33.6,34,577,24.89,14560.7,19387.2,4826.55,13
93,94,37.76,44,546,27.97,14600.3,20617.0,6016.62,2
94,95,74.35,65,252,47.97,13383.6,18736.2,5352.57,3
95,96,54.9,102,367,37.6,15152.8,20148.3,4995.5,4
96,97,67.27,133,237,43.68,14414.4,15943.0,1528.59,8
97,98,39.48,86,590,29.03,18463.1,23293.2,4830.12,2
98,99,60.79,49,358,40.26,15580.6,21762.8,7349.74,10
99,100,57.71,46,322,38.99,11658.0,18582.6,6924.61,11
100,101,40.17,22,481,29.54,13411.2,19321.8,5910.61,10
101,102,25.23,97,758,17.64,13900.3,19124.3,5224.02,9
102,103,62.43,33,303,41.07,11335.3,18916.3,7580.97,11
103,104,57.36,59,372,38.76,14147.4,21337.9,7190.52,8
104,105,64.66,83,332,42.26,15171.3,21467.1,6295.78,12
105,106,24.49,55,781,17.01,13829.1,19126.7,5297.56,8
106,107,54.17,109,376,37.36,17260.3,20367.9,3107.6,9
107,108,38.31,45,554,28.38,16119.8,21223.7,5103.9,6
108,109,9.48,139,1015,4.6,5087.6,9622.2,4534.6,5
109,110,25.66,67,761,18.07,14437.9,19527.3,5089.33,6
110,111,48.55,30,434,34.43,13737.6,21070.7,7333.13,14
111,112,75.05,25,235,48.42,10894.5,17636.8,6742.25,11
112,113,37.02,119,636,27.42,19934.3,23544.7,3610.38,4
113,114,65.94,41,296,43.1,11637.0,19518.2,7881.24,10
114,115,70.9,70,253,46.04,12615.0,17937.7,5322.74,13
