,idVenda,Quantidade,vendaValor,Departamento,prodLucro,Produto_idProduto,Cliente_idCliente
0,1,1,50.77,15,0.0,236,1
1,2,2,146.54,13,0.0,29,1
2,3,1,78.48,6,0.0,50,1
3,4,3,82.56,14,0.0,66,2
4,5,1,7.78,1,0.0,73,2
5,6,3,188.82,9,0.0,238,2
6,7,3,234.21,11,0.0,39,6
7,8,2,47.9,6,0.0,122,6
8,9,2,26.32,2,0.0,64,6
9,10,1,17.45,2,0.0,135,7
10,11,3,182.37,10,0.0,99,7
11,12,1,38.11,7,0.0,171,7
12,13,3,120.51,10,0.0,101,8
13,14,2,15.72,10,0.0,151,8
14,15,4,113.04,8,0.0,147,8
15,16,3,34.08,12,0.0,235,9
16,17,3,42.72,14,0.0,44,9
17,18,4,107.12,7,0.0,178,9
18,19,1,22.62,13,0.0,200,10
19,20,2,85.9,10,0.0,226,10
20,21,2,97.62,6,0.0,148,10
21,22,4,25.44,5,0.0,197,14
22,23,3,24.78,12,0.0,244,14
23,24,4,211.2,15,0.0,133,14
24,25,1,38.34,5,0.0,40,15
25,26,2,13.24,2,0.0,21,15
26,27,4,266.56,7,0.0,34,15
27,28,3,43.35,11,0.0,224,19
28,29,3,37.53,2,0.0,198,19
29,30,3,122.73,5,0.0,192,19
30,31,3,212.7,13,0.0,115,21
31,32,1,47.36,15,0.0,12,21
32,33,1,22.41,11,0.0,134,21
33,34,3,43.35,11,43.35,224,22
34,35,4,76.72,6,0.0,61,22
35,36,3,168.69,7,0.0,211,22
36,37,4,91.12,10,0.0,195,25
37,38,4,84.04,6,0.0,212,25
38,39,4,26.48,2,13.24,21,25
39,40,4,91.92,9,0.0,228,26
40,41,2,52.36,2,0.0,153,26
41,42,3,121.14,7,0.0,13,26
42,43,1,24.52,12,0.0,24,27
43,44,1,4.08,2,0.0,250,27
44,45,4,40.52,9,0.0,121,27
45,46,3,104.61,15,0.0,74,28
46,47,1,78.07,11,234.21,39,28
47,48,1,70.38,7,0.0,129,28
48,49,4,57.8,11,86.7,224,29
49,50,1,52.8,15,211.2,133,29
50,51,4,113.84,11,0.0,91,29
51,52,2,131.88,10,0.0,114,30
52,53,2,58.24,3,0.0,177,30
53,54,3,30.39,9,40.52,121,30
54,55,1,50.77,15,50.77,236,31
55,56,3,47.94,8,0.0,83,31
56,57,3,28.98,2,0.0,36,31
