,0,1
0,1,1
1,2,1
2,3,1
3,4,50
4,5,1
5,6,1
6,7,1
7,8,1
8,9,53
9,10,1
10,11,1
11,12,11
12,13,78
13,14,1
14,15,1
15,16,1
16,17,1
17,18,1
18,19,1
19,20,1
20,21,45
21,22,55
22,23,1
23,24,1
24,25,1
25,26,1
26,27,48
27,28,50
28,29,1
29,30,148
30,31,56
31,32,1
32,33,40
33,34,1
34,35,1
35,36,1
36,37,1
37,38,50
38,39,54
39,40,1
40,41,47
41,42,39
42,43,54
43,44,1
44,45,40
45,46,1
46,47,1
47,48,1
48,49,1
49,50,4
50,51,1
51,52,3
52,53,1
53,54,1
54,55,1
55,56,1
56,57,1
57,58,1
58,59,50
59,60,39
60,61,52
61,62,1
62,63,11
63,64,48
64,65,1
65,66,39
66,67,1
67,68,1
68,69,1
69,70,48
70,71,59
71,72,58
72,73,1
73,74,1
74,75,45
75,76,1
76,77,1
77,78,1
78,79,1
79,80,53
80,81,48
81,82,61
82,83,2
83,84,54
84,85,51
85,86,47
86,87,1
87,88,1
88,89,1
89,90,1
90,91,36
91,92,47
92,93,1
93,94,1
94,95,1
95,96,41
96,97,40
97,98,149
98,99,1
99,100,1
100,101,1
101,102,39
102,103,58
103,104,1
104,105,1
105,106,57
106,107,1
107,108,1
108,109,1
109,110,1
110,111,1
111,112,1
112,113,1
113,114,58
114,115,42
115,116,39
116,117,1
117,118,6
118,119,1
119,120,62
120,121,1
121,122,149
122,123,41
123,124,1
124,125,1
125,126,1
126,127,1
127,128,1
128,129,1
129,130,47
130,131,1
131,132,2
132,133,1
133,134,55
134,135,1
135,136,1
136,137,1
137,138,1
138,139,39
139,140,1
140,141,1
141,142,1
142,143,1
143,144,5
144,145,1
145,146,1
146,147,4
147,148,1
148,149,79
149,150,1
150,151,27
151,152,2
152,153,1
153,154,53
154,155,23
155,156,60
156,157,1
157,158,1
158,159,1
159,160,1
160,161,1
161,162,1
162,163,1
163,164,1
164,165,1
165,166,149
166,167,1
167,168,1
168,169,1
169,170,53
170,171,1
171,172,1
172,173,1
173,174,1
174,175,1
175,176,1
176,177,53
177,178,1
178,179,40
179,180,38
180,181,1
181,182,47
182,183,1
183,184,1
184,185,60
185,186,1
186,187,1
187,188,1
188,189,4
189,190,1
190,191,51
191,192,57
192,193,1
193,194,1
194,195,1
195,196,1
196,197,53
197,198,1
198,199,1
199,200,51
200,201,53
201,202,1
202,203,1
203,204,1
204,205,2
205,206,54
206,207,48
207,208,78
208,209,1
209,210,1
210,211,56
211,212,61
212,213,1
213,214,1
214,215,55
215,216,1
216,217,56
217,218,1
218,219,10
219,220,1
220,221,1
221,222,40
222,223,148
223,224,1
224,225,1
225,226,59
226,227,8
227,228,1
228,229,1
229,230,51
230,231,1
231,232,1
232,233,1
233,234,1
234,235,1
235,236,39
236,237,56
237,238,1
238,239,1
239,240,1
240,241,56
241,242,80
242,243,149
243,244,1
244,245,1
245,246,1
246,247,1
247,248,1
248,249,1
249,250,1
