,idDepartamento,depVendas,depCusto,depGanho,depLucro,Loja_idLoja
0,1,3331,83380.7,184598.0,101217.0,1
1,2,5820,133754.0,265835.0,132081.0,1
2,3,6009,115182.0,248165.0,132983.0,1
3,4,5607,79394.6,211328.0,131934.0,1
4,5,3851,107086.0,201157.0,94070.7,1
5,6,7943,144786.0,318939.0,174153.0,1
6,7,7373,129149.0,325872.0,196723.0,1
7,8,3939,70058.5,169828.0,99769.3,1
8,9,7897,136104.0,326782.0,190678.0,1
9,10,6942,129103.0,338325.0,209222.0,1
10,11,3477,97701.1,194071.0,96369.6,1
11,12,8444,134110.0,310084.0,175974.0,1
12,13,2346,53543.9,122011.0,68467.0,1
13,14,5585,88332.4,221278.0,132946.0,1
14,15,6016,139573.0,276480.0,136907.0,1
