,idProduto,prodValor,prodEstoque,prodVendas,prodCusto,prodCustoAcum,prodGanhoAcum,prodLucro,Departamento_idDepartamento
0,1,63.75,49,255,35.03,4974.26,16256.2,11282.0,15
1,2,56.73,23,237,21.82,4582.2,13445.0,8862.81,6
2,3,40.26,117,435,12.2,4867.8,17513.1,12645.3,14
3,4,63.02,36,194,45.67,7672.56,12225.9,4553.32,3
4,5,49.16,123,323,26.01,7386.84,15878.7,8491.84,13
5,6,64.62,65,237,35.7,5033.7,15314.9,10281.2,11
6,7,33.0,141,534,9.91,5192.84,17622.0,12429.2,4
7,8,53.41,154,289,28.56,8053.92,15435.5,7381.57,4
8,9,48.94,21,360,48.46,17445.6,17618.4,366.637,15
9,10,49.44,76,352,15.26,4150.72,17402.9,13252.2,10
10,11,60.46,52,254,32.86,4698.98,15356.8,10657.9,9
11,12,69.33,91,211,39.62,5586.42,14628.6,9042.21,9
12,13,14.03,47,776,3.56,2598.8,10887.3,8288.48,6
13,14,58.95,82,218,32.04,4485.6,12851.1,8365.5,6
14,15,62.81,86,216,34.51,4865.91,13567.0,8701.05,8
15,16,48.28,35,291,18.22,4955.84,14049.5,9093.64,3
16,17,61.91,80,224,33.83,4803.86,13867.8,9063.98,10
17,18,30.43,55,620,9.11,4773.64,18866.6,14093.0,4
18,19,51.66,134,312,27.48,7804.32,16117.9,8313.6,6
19,20,55.2,42,278,21.15,5710.5,15345.6,9635.1,7
20,21,69.6,110,192,40.23,5672.43,13363.2,7690.77,6
21,22,62.27,53,213,44.48,9118.4,13263.5,4145.11,12
22,23,64.86,32,212,25.84,4961.28,13750.3,8789.04,15
23,24,60.63,41,258,23.5,5828.0,15642.5,9814.54,5
24,25,42.59,25,355,15.95,5167.8,15119.5,9951.65,6
25,26,64.85,106,198,35.83,5087.86,12840.3,7752.44,10
26,27,62.83,41,225,46.2,9471.0,14136.8,4665.75,14
27,28,49.77,21,331,49.28,16311.7,16473.9,359.283,9
28,29,59.87,76,226,32.54,4588.14,13530.6,8942.48,2
29,30,6.26,145,915,1.66,1510.6,5727.9,4217.3,14
30,31,48.29,21,329,47.81,15729.4,15887.4,349.218,2
31,32,53.44,53,249,28.58,4029.78,13306.6,9276.78,1
32,33,59.82,49,230,41.83,9286.26,13758.6,4472.34,3
