nome_municipio1,cod_municipio1,nome_municipio2,cod_municipio2,distanciaGeo,distanciaCos,distanciaHsin,distanciaMeeus,distanciaSvince
Aracaju,2800308,Aracaju,2800308,0.0,0.0,0.0,0.0,0.0
Belém,1501402,Aracaju,2800308,1639306.783062166,1643671.2735185684,1643671.2735185702,1639291.3532672746,1643671.2735185702
Belo Horizonte,3106200,Aracaju,2800308,1238024.3068905317,1242738.650908555,1242738.6509085568,1238014.4041487,1242738.6509085568
Boa Vista,1400100,Aracaju,2800308,3024026.044471164,3029030.9910774087,3029030.99107741,3024005.4386580726,3029030.99107741
Brasília,5300108,Aracaju,2800308,1293757.1674790585,1294958.941990512,1294958.9419905096,1293752.0891885303,1294958.9419905096
Campo Grande,5002704,Aracaju,2800308,2155618.809317193,2158308.870159908,2158308.8701599054,2155608.846740798,2158308.870159905
Cuiabá,5103403,Aracaju,2800308,2125487.7163457437,2125921.824360861,2125921.824360864,2125484.8831546884,2125921.824360864
Curitiba,4106902,Aracaju,2800308,2057335.449642248,2064238.341411566,2064238.3414115687,2057322.105233373,2064238.3414115687
Florianópolis,4205407,Aracaju,2800308,2203136.807236556,2211546.584935904,2211546.584935903,2203124.2977294163,2211546.5849359035
Fortaleza,2304400,Aracaju,2800308,811912.2485794317,817025.4922229277,817025.4922229352,811903.8808792622,817025.4922229347
Goiânia,5208707,Aracaju,2800308,1464809.2263328894,1466302.668890277,1466302.6688902772,1464803.1069295271,1466302.6688902774
João Pessoa,2507507,Aracaju,2800308,484529.5088859821,486879.1899922955,486879.1899923045,484524.2100454472,486879.1899923045
Macapá,1600303,Aracaju,2800308,1965942.5657820024,1970835.478761951,1970835.4787619517,1965924.7090399435,1970835.4787619517
Maceió,2704302,Aracaju,2800308,200542.4250939052,201137.06824130056,201137.0682412765,200540.56275969284,201137.0682412765
Manaus,1302603,Aracaju,2800308,2676350.6259984807,2678047.983346976,2678047.983346974,2676342.595769312,2678047.983346973
Natal,2408102,Aracaju,2800308,602038.1448448466,605500.8671277151,605500.8671277111,602031.752575086,605500.8671277111
Palmas,1721000,Aracaju,2800308,1237523.9894513742,1237413.3575816075,1237413.3575816066,1237524.067683792,1237413.3575816068
Porto Alegre,4314902,Aracaju,2800308,2574606.364161636,2583720.2257007533,2583720.2257007547,2574593.342071119,2583720.2257007537
Porto Velho,1100205,Aracaju,2800308,2951927.597239247,2951763.924270562,2951763.924270563,2951927.458721102,2951763.924270563
Recife,2611606,Aracaju,2800308,397600.1191467036,399218.2204795788,399218.22047957615,397595.8823191535,399218.2204795763
Rio Branco,1200401,Aracaju,2800308,3367654.701247969,3367305.17498714,3367305.174987141,3367655.167887217,3367305.17498714
Rio de Janeiro,3304557,Aracaju,2800308,1479760.81123144,1486662.7729980738,1486662.7729980743,1479751.0412395615,1486662.772998074
Salvador,2927408,Aracaju,2800308,276480.0804548869,277656.1569726163,277656.1569726265,276477.3814711207,277656.15697262663
São Luís,2111300,Aracaju,2800308,1221466.284019736,1226064.5670959174,1226064.5670959172,1221452.7401791676,1226064.5670959172
São Paulo,3550308,Aracaju,2800308,1727092.522452523,1733497.1561587343,1733497.1561587327,1727080.449288315,1733497.156158732
Teresina,2211001,Aracaju,2800308,901871.8109698182,904846.172888796,904846.1728887936,901862.534969572,904846.1728887936
Vitória,3205309,Aracaju,2800308,1097362.0918092616,1103248.69646574,1103248.696465745,1097354.752358434,1103248.696465745
Aracaju,2800308,Belém,1501402,1639306.783062166,1643671.2735185684,1643671.2735185702,1639291.3532672746,1643671.2735185702
Belém,1501402,Belém,1501402,0.0,0.0,0.0,0.0,0.0
Belo Horizonte,3106200,Belém,1501402,2101082.0008231625,2113586.507405434,2113586.5074054333,2101063.9116023206,2113586.5074054333
Boa Vista,1400100,Belém,1501402,1436256.2175429573,1437306.4212859543,1437306.4212859592,1436251.30755767,1437306.4212859587
Brasília,5300108,Belém,1501402,1585505.511644439,1595736.0708072234,1595736.0708072267,1585491.0595536542,1595736.0708072262
Campo Grande,5002704,Belém,1501402,2204631.988944673,2217199.5735948035,2217199.573594804,2204612.5957714985,2217199.5735948035
Cuiabá,5103403,Belém,1501402,1773574.6639860792,1782473.471451393,1782473.4714513945,1773555.5606540258,1782473.4714513945
Curitiba,4106902,Belém,1501402,2652899.057413214,2668967.48083596,2668967.480835963,2652882.3636985654,2668967.4808359616
